Ticker,Company,Industrykey,Category,Avg_EPS_Change_4Q_mean,Avg_NIL_Change_4Q_mean,NetWorth_Change_mean,NetWorth_Volatility_2Q_max,Volume_accum_max,MarketCap_max,MarketCap_min,Volume_Change_std,EPS_Volatility_2Q_max,Return_mean,Volatility_2Q_max,Return_skew
A,Agilent Technologies,diagnostics-research,sp500,0.5332624878341535,8.885561641996086,-0.14513489856196898,-0.2809017699879036,-0.21294665556354025,-0.045104668105569706,1.61273822633093,0.0675449803397359,-0.0633614680629897,0.6981667635243001,-0.48358291072753135,-0.543199733218512
ABBV,AbbVie,drug-manufacturers-general,sp500,-0.5244069266445133,-0.5145668330782934,1.8930700229770128,0.019232706553305674,1.1039775779908994,3.341122747008837,7.327429242057094,1.0024995898788691,-0.3398416370403742,1.3179935640245866,-0.3409688780069255,0.39154634073970146
ABNB,Airbnb,travel-services,sp500,2.8925591050384614,1.1806267301936884,2.6850731135023094,-0.0032761249926982574,0.2259014201453618,1.0034191290644545,0.8865916768202569,-1.3287067494226226,1.2718520575855463,-5.1237115727216755,0.443059764967603,-1.2937046512286372
ABT,Abbott Laboratories,medical-devices,sp500,0.31782181584634817,0.21974787735935503,-0.5075456882239958,-0.20946739585772806,0.8523048128374339,2.484972794420211,9.694511632611684,3.0838002253120558,-0.3250764105648871,-0.38139041907339216,-0.6326596629765597,0.20957099701618898
ACGL,Arch Capital Group,insurance-diversified,sp500,0.47235654772074565,0.30615632437902857,0.19628472084170379,-0.22203651657520526,-0.2292940183230286,-0.3861046842257652,0.2683592294809064,1.3802933539860192,-0.2243440397625543,0.21690948360092907,-0.544020956590568,-0.2637403891993212
ACN,Accenture,information-technology-services,sp500,-0.3850214229045553,-0.3930108486611324,0.7899625343048848,-0.20953764452919935,-0.058594510928062525,2.59601524925138,8.377352639813559,0.8205837592576303,-0.3314499581490743,-0.1263654159552811,0.03256225622240235,0.2716596764928886
ADBE,Adobe Inc.,software-application,sp500,-0.12996564917694348,-0.1706253702634715,0.5276874081635632,-0.2018406111336079,0.033860875780307824,3.0704530354852086,8.9852829906125,1.1706674000339998,-0.3217281880676014,-0.8861522911889754,-0.21763500871009894,0.7379579204565737
ADI,Analog Devices,semiconductors,sp500,0.2542055314640623,0.06096468697324327,2.55733917769907,0.40365637779872265,-0.03182708846544544,0.24436795016893761,2.40021515453225,1.087951222999094,-0.2935042533480302,0.149322428526481,0.2910825994428649,0.8545445515144692
ADM,Archer Daniels Midland,farm-products,sp500,0.16790324734402048,0.09118913574448637,0.19191071102415375,-0.26847577267918415,-0.02344258766891676,0.05194790836029211,0.9022836865022184,0.8237448850580222,-0.3059254371366475,1.3827661220359695,-0.19068103320472446,-0.8025694639767534
ADP,Automatic Data Processing,software-application,sp500,-0.01348869647764296,-0.06523368212651023,-1.625374511453644,0.6924433261970876,-0.14153246392365462,0.7750288960129794,3.5433627959686866,1.0766490508760898,-0.31932488565668304,0.027531733947744923,-0.7205404504260086,0.3767276892610163
ADSK,Autodesk,software-application,sp500,-0.20050822171260424,0.9460804135599132,0.8039681998530838,-0.177678528134091,-0.19840498768268736,0.30906040964409415,1.8741371183114968,1.4575532370018371,0.002051777378321286,-0.7755328766797848,0.5158922437678337,2.221783829143319
AEE,Ameren,utilities-regulated-electric,sp500,-0.032950879676537134,0.408988736926386,0.08756139424727605,-0.27587104243352545,-0.25890573132049893,-0.34192018328340895,0.4180840356391176,-0.5825371197322822,-0.27126394439264834,-0.7482370937621421,-1.1130220308304315,0.260723981769242
AEP,American Electric Power,utilities-regulated-electric,sp500,0.12558747581385243,-0.014276943982431827,1.1195710324520596,0.173079210230629,-3.8532120294648743e-05,0.013174219112255447,1.4528784457450155,1.0312140972636845,-0.20382467183822106,-1.1026684745410995,-1.1612345618503463,-0.43178753259496366
AES,AES Corporation,utilities-diversified,sp500,-4.0832579573060634,-3.6151359432266132,-0.23229120453367916,-0.03367791315964757,0.25422961492887935,-0.44713599154822414,0.2099172354703577,-0.48686165309275664,-0.09290609877207755,0.561993858223777,0.020588975764859626,-0.6130060606983124
