filed_date,fiscal_year,form,fiscal_period,company,ticker,category,quarter,year,date,industrykey,sectorkey,close,volume,Revenue,NetIncomeLoss,OperatingIncomeLoss,Assets,Liabilities,StockholdersEquity,IncomeTaxExpenseBenefit,CommonStockSharesOutstanding,Assets_lag1,CommonStockSharesOutstanding_lag1,IncomeTaxExpenseBenefit_lag1,Liabilities_lag1,NetIncomeLoss_lag1,OperatingIncomeLoss_lag1,StockholdersEquity_lag1,Revenue_lag1,close_lag1,volume_lag1
2021-03-05,2020,10-K,FY,DoorDash,DASH,gig,4,2020,2020-12-31,internet-retail,consumer-cyclical,142.75,2637300.0,291000000.0,-204000000.0,-210000000.0,1732000000.0,550000000.0,-198000000.0,0.0,399990946.1708861,,,,,,,,,,
2021-05-14,2021,10-Q,Q1,DoorDash,DASH,gig,1,2021,2021-03-31,internet-retail,consumer-cyclical,131.1300048828125,2939200.0,362000000.0,-129000000.0,-123000000.0,6353000000.0,1653000000.0,-1082000000.0,1000000.0,399990946.1708861,1732000000.0,399990946.1708861,0.0,550000000.0,-204000000.0,-210000000.0,-198000000.0,291000000.0,142.75,2637300.0
2021-08-13,2021,10-Q,Q2,DoorDash,DASH,gig,2,2021,2021-06-30,internet-retail,consumer-cyclical,178.3300018310547,4880300.0,1037000000.0,-129000000.0,-96000000.0,6353000000.0,1653000000.0,-1082000000.0,1000000.0,399990946.1708861,6353000000.0,399990946.1708861,1000000.0,1653000000.0,-129000000.0,-123000000.0,-1082000000.0,362000000.0,131.1300048828125,2939200.0
2021-11-10,2021,10-Q,Q3,DoorDash,DASH,gig,3,2021,2021-09-30,internet-retail,consumer-cyclical,205.97999572753903,1565500.0,1916000000.0,-129000000.0,-131000000.0,6353000000.0,1653000000.0,-1082000000.0,2000000.0,399990946.1708861,6353000000.0,399990946.1708861,1000000.0,1653000000.0,-129000000.0,-96000000.0,-1082000000.0,1037000000.0,178.3300018310547,4880300.0
2022-03-01,2021,10-K,FY,DoorDash,DASH,gig,4,2021,2021-12-31,internet-retail,consumer-cyclical,148.89999389648438,2297900.0,885000000.0,-667000000.0,-616000000.0,6353000000.0,1653000000.0,-436000000.0,1000000.0,399990946.1708861,6353000000.0,399990946.1708861,2000000.0,1653000000.0,-129000000.0,-131000000.0,-1082000000.0,1916000000.0,205.97999572753903,1565500.0
2022-05-06,2022,10-Q,Q1,DoorDash,DASH,gig,1,2022,2022-03-31,internet-retail,consumer-cyclical,117.19000244140624,3022100.0,1077000000.0,-110000000.0,-99000000.0,6809000000.0,2142000000.0,4700000000.0,1000000.0,399990946.1708861,6353000000.0,399990946.1708861,1000000.0,1653000000.0,-667000000.0,-616000000.0,-436000000.0,885000000.0,148.89999389648438,2297900.0
2022-08-05,2022,10-Q,Q2,DoorDash,DASH,gig,2,2022,2022-06-30,internet-retail,consumer-cyclical,64.16999816894531,5383300.0,2313000000.0,-110000000.0,-198000000.0,6809000000.0,2142000000.0,4700000000.0,3000000.0,399990946.1708861,6809000000.0,399990946.1708861,1000000.0,2142000000.0,-110000000.0,-99000000.0,4700000000.0,1077000000.0,117.19000244140624,3022100.0
2022-11-04,2022,10-Q,Q3,DoorDash,DASH,gig,3,2022,2022-09-30,internet-retail,consumer-cyclical,49.45000076293945,3223200.0,3588000000.0,-110000000.0,-298000000.0,6809000000.0,2142000000.0,4700000000.0,3000000.0,399990946.1708861,6809000000.0,399990946.1708861,3000000.0,2142000000.0,-110000000.0,-198000000.0,4700000000.0,2313000000.0,64.16999816894531,5383300.0
2023-02-27,2022,10-K,FY,DoorDash,DASH,gig,4,2022,2022-12-31,internet-retail,consumer-cyclical,48.81999969482422,3193300.0,2886000000.0,-461000000.0,-436000000.0,6809000000.0,2142000000.0,-1082000000.0,3000000.0,399990946.1708861,6809000000.0,399990946.1708861,3000000.0,2142000000.0,-110000000.0,-298000000.0,4700000000.0,3588000000.0,49.45000076293945,3223200.0
2023-05-05,2023,10-Q,Q1,DoorDash,DASH,gig,1,2023,2023-03-31,internet-retail,consumer-cyclical,63.560001373291016,4530400.0,1456000000.0,-167000000.0,-173000000.0,9789000000.0,3021000000.0,4667000000.0,0.0,399990946.1708861,6809000000.0,399990946.1708861,3000000.0,2142000000.0,-461000000.0,-436000000.0,-1082000000.0,2886000000.0,48.81999969482422,3193300.0
2023-08-02,2023,10-Q,Q2,DoorDash,DASH,gig,2,2023,2023-06-30,internet-retail,consumer-cyclical,76.41999816894531,2645100.0,3064000000.0,-167000000.0,-446000000.0,9789000000.0,3021000000.0,4667000000.0,-9000000.0,399990946.1708861,9789000000.0,399990946.1708861,0.0,3021000000.0,-167000000.0,-173000000.0,4667000000.0,1456000000.0,63.560001373291016,4530400.0
2023-11-01,2023,10-Q,Q3,DoorDash,DASH,gig,3,2023,2023-09-30,internet-retail,consumer-cyclical,79.47000122070312,2747100.0,4765000000.0,-167000000.0,-754000000.0,9789000000.0,3021000000.0,4667000000.0,-14000000.0,399990946.1708861,9789000000.0,399990946.1708861,-9000000.0,3021000000.0,-167000000.0,-446000000.0,4667000000.0,3064000000.0,76.41999816894531,2645100.0
2024-02-20,2023,10-K,FY,DoorDash,DASH,gig,4,2023,2023-12-31,internet-retail,consumer-cyclical,98.88999938964844,2525700.0,4888000000.0,-468000000.0,-452000000.0,9789000000.0,3021000000.0,4700000000.0,5000000.0,399990946.1708861,9789000000.0,399990946.1708861,-14000000.0,3021000000.0,-167000000.0,-754000000.0,4667000000.0,4765000000.0,79.47000122070312,2747100.0
2024-05-01,2024,10-Q,Q1,DoorDash,DASH,gig,1,2024,2024-03-31,internet-retail,consumer-cyclical,137.72000122070312,3054700.0,2035000000.0,-161000000.0,-171000000.0,10839000000.0,4026000000.0,6754000000.0,17000000.0,399990946.1708861,9789000000.0,399990946.1708861,5000000.0,3021000000.0,-468000000.0,-452000000.0,4700000000.0,4888000000.0,98.88999938964844,2525700.0
2024-08-01,2024,10-Q,Q2,DoorDash,DASH,gig,2,2024,2024-06-30,internet-retail,consumer-cyclical,108.77999877929688,12262000.0,4168000000.0,-161000000.0,-382000000.0,10839000000.0,4026000000.0,6754000000.0,8000000.0,399990946.1708861,10839000000.0,399990946.1708861,17000000.0,4026000000.0,-161000000.0,-171000000.0,6754000000.0,2035000000.0,137.72000122070312,3054700.0
2024-10-30,2024,10-Q,Q3,DoorDash,DASH,gig,3,2024,2024-09-30,internet-retail,consumer-cyclical,142.72999572753906,2390200.0,6332000000.0,-161000000.0,-490000000.0,10839000000.0,4026000000.0,6754000000.0,14000000.0,399990946.1708861,10839000000.0,399990946.1708861,8000000.0,4026000000.0,-161000000.0,-382000000.0,6754000000.0,4168000000.0,108.77999877929688,12262000.0
2025-02-14,2024,10-K,FY,DoorDash,DASH,gig,4,2024,2024-12-31,internet-retail,consumer-cyclical,167.75,1241300.0,6583000000.0,-1365000000.0,-1124000000.0,10839000000.0,4026000000.0,4667000000.0,-31000000.0,399990946.1708861,10839000000.0,399990946.1708861,14000000.0,4026000000.0,-161000000.0,-490000000.0,6754000000.0,6332000000.0,142.72999572753906,2390200.0
2025-05-07,2025,10-Q,Q1,DoorDash,DASH,gig,1,2025,2025-03-31,internet-retail,consumer-cyclical,182.7700042724609,6074800.0,2513000000.0,-23000000.0,-61000000.0,12845000000.0,5035000000.0,6806000000.0,7000000.0,399990946.1708861,10839000000.0,399990946.1708861,-31000000.0,4026000000.0,-1365000000.0,-1124000000.0,4667000000.0,6583000000.0,167.75,1241300.0
2025-08-06,2025,10-Q,Q2,DoorDash,DASH,gig,2,2025,2025-06-30,internet-retail,consumer-cyclical,246.50999450683597,8089900.0,5143000000.0,-23000000.0,-262000000.0,12845000000.0,5035000000.0,6806000000.0,8000000.0,399990946.1708861,12845000000.0,399990946.1708861,7000000.0,5035000000.0,-23000000.0,-61000000.0,6806000000.0,2513000000.0,182.7700042724609,6074800.0
2025-11-06,2025,10-Q,Q3,DoorDash,DASH,gig,3,2025,2025-09-30,internet-retail,consumer-cyclical,271.989990234375,3245300.0,7849000000.0,-23000000.0,-155000000.0,12845000000.0,5035000000.0,6806000000.0,2000000.0,399990946.1708861,12845000000.0,399990946.1708861,8000000.0,5035000000.0,-23000000.0,-262000000.0,6806000000.0,5143000000.0,246.50999450683597,8089900.0
2026-02-18,2025,10-K,FY,DoorDash,DASH,gig,4,2025,2025-12-31,internet-retail,consumer-cyclical,228.1300048828125,2546500.0,8635000000.0,-558000000.0,-579000000.0,12845000000.0,5035000000.0,6754000000.0,31000000.0,399990946.1708861,12845000000.0,399990946.1708861,2000000.0,5035000000.0,-23000000.0,-155000000.0,6806000000.0,7849000000.0,271.989990234375,3245300.0
2015-05-22,2015,10-Q,Q1,Etsy,ETSY,gig,1,2015,,,,,,40536000.0,-463000.0,419000.0,249135000.0,101835000.0,67088000.0,213000.0,44180939.0,,,,,,,,,,
2015-08-06,2015,10-Q,Q2,Etsy,ETSY,gig,2,2015,2015-06-30,internet-retail,consumer-cyclical,14.050000190734863,1508100.0,83045000.0,-3614000.0,-3375000.0,249135000.0,101835000.0,67088000.0,-195000.0,44180939.0,249135000.0,44180939.0,213000.0,101835000.0,-463000.0,419000.0,67088000.0,40536000.0,,
2015-11-05,2015,10-Q,Q3,Etsy,ETSY,gig,3,2015,2015-09-30,internet-retail,consumer-cyclical,13.6899995803833,500800.0,130679000.0,-9885000.0,-6427000.0,249135000.0,101835000.0,67088000.0,1880000.0,44180939.0,249135000.0,44180939.0,-195000.0,101835000.0,-3614000.0,-3375000.0,67088000.0,83045000.0,14.050000190734863,1508100.0
2016-03-01,2015,10-K,FY,Etsy,ETSY,gig,4,2015,2015-12-31,internet-retail,consumer-cyclical,8.260000228881836,1213000.0,125022000.0,-796000.0,733000.0,246203000.0,98903000.0,-652000.0,854000.0,33082948.0,249135000.0,44180939.0,1880000.0,101835000.0,-9885000.0,-6427000.0,67088000.0,130679000.0,13.6899995803833,500800.0
2016-05-05,2016,10-Q,Q1,Etsy,ETSY,gig,1,2016,2016-03-31,internet-retail,consumer-cyclical,8.699999809265137,683400.0,58543000.0,-36586000.0,-4842000.0,553061000.0,222563000.0,330498000.0,10725000.0,112563354.0,246203000.0,33082948.0,854000.0,98903000.0,-796000.0,733000.0,-652000.0,125022000.0,8.260000228881836,1213000.0
2016-08-04,2016,10-Q,Q2,Etsy,ETSY,gig,2,2016,2016-06-30,internet-retail,consumer-cyclical,9.59000015258789,746900.0,119908000.0,-42940000.0,-8633000.0,553061000.0,222563000.0,330498000.0,15634000.0,112563354.0,553061000.0,112563354.0,10725000.0,222563000.0,-36586000.0,-4842000.0,330498000.0,58543000.0,8.699999809265137,683400.0
2016-11-03,2016,10-Q,Q3,Etsy,ETSY,gig,3,2016,2016-09-30,internet-retail,consumer-cyclical,14.279999732971191,1482300.0,185604000.0,-49831000.0,-10300000.0,553061000.0,222563000.0,330498000.0,19729000.0,112563354.0,553061000.0,112563354.0,15634000.0,222563000.0,-42940000.0,-8633000.0,330498000.0,119908000.0,9.59000015258789,746900.0
2017-02-28,2016,10-K,FY,Etsy,ETSY,gig,4,2016,2016-12-31,internet-retail,consumer-cyclical,11.779999732971191,960300.0,195591000.0,-15243000.0,-6251000.0,553061000.0,222563000.0,4003000.0,4983000.0,44180393.0,553061000.0,112563354.0,19729000.0,222563000.0,-49831000.0,-10300000.0,330498000.0,185604000.0,14.279999732971191,1482300.0
2017-05-02,2017,10-Q,Q1,Etsy,ETSY,gig,1,2017,2017-03-31,internet-retail,consumer-cyclical,10.630000114440918,2320900.0,81847000.0,1192000.0,6783000.0,581193000.0,236436000.0,344757000.0,13614000.0,115973039.0,553061000.0,44180393.0,4983000.0,222563000.0,-15243000.0,-6251000.0,4003000.0,195591000.0,11.779999732971191,960300.0
2017-08-07,2017,10-Q,Q2,Etsy,ETSY,gig,2,2017,2017-06-30,internet-retail,consumer-cyclical,15.0,856900.0,167196000.0,-6119000.0,11452000.0,581193000.0,236436000.0,344757000.0,17875000.0,115973039.0,581193000.0,115973039.0,13614000.0,236436000.0,1192000.0,6783000.0,344757000.0,81847000.0,10.630000114440918,2320900.0
2017-11-08,2017,10-Q,Q3,Etsy,ETSY,gig,3,2017,2017-09-30,internet-retail,consumer-cyclical,16.8799991607666,1432000.0,254758000.0,-8518000.0,14125000.0,581193000.0,236436000.0,344757000.0,22238000.0,115973039.0,581193000.0,115973039.0,17875000.0,236436000.0,-6119000.0,11452000.0,344757000.0,167196000.0,15.0,856900.0
2018-03-01,2017,10-K,FY,Etsy,ETSY,gig,4,2017,2017-12-31,internet-retail,consumer-cyclical,20.450000762939453,1285900.0,273499000.0,-54063000.0,-1884000.0,581193000.0,236436000.0,67088000.0,26069000.0,115973039.0,581193000.0,115973039.0,22238000.0,236436000.0,-8518000.0,14125000.0,344757000.0,254758000.0,16.8799991607666,1432000.0
2018-05-09,2018,10-Q,Q1,Etsy,ETSY,gig,1,2018,2018-03-31,internet-retail,consumer-cyclical,28.059999465942383,3556000.0,96891000.0,-421000.0,-2101000.0,605583000.0,208689000.0,396894000.0,-1052000.0,121769238.0,581193000.0,115973039.0,26069000.0,236436000.0,-54063000.0,-1884000.0,67088000.0,273499000.0,20.450000762939453,1285900.0
2018-08-07,2018,10-Q,Q2,Etsy,ETSY,gig,2,2018,2018-06-30,internet-retail,consumer-cyclical,42.18999862670898,2440100.0,198583000.0,11248000.0,-13819000.0,605583000.0,208689000.0,396894000.0,-10489000.0,121769238.0,605583000.0,121769238.0,-1052000.0,208689000.0,-421000.0,-2101000.0,396894000.0,96891000.0,28.059999465942383,3556000.0
2018-11-07,2018,10-Q,Q3,Etsy,ETSY,gig,3,2018,2018-09-30,internet-retail,consumer-cyclical,51.380001068115234,1523100.0,304963000.0,37050000.0,-6394000.0,605583000.0,208689000.0,396894000.0,-23051000.0,121769238.0,605583000.0,121769238.0,-10489000.0,208689000.0,11248000.0,-13819000.0,396894000.0,198583000.0,42.18999862670898,2440100.0
2019-02-28,2018,10-K,FY,Etsy,ETSY,gig,4,2018,2018-12-31,internet-retail,consumer-cyclical,47.56999969482422,1527000.0,364967000.0,-29901000.0,17577000.0,605583000.0,208689000.0,330498000.0,27025000.0,121769238.0,605583000.0,121769238.0,-23051000.0,208689000.0,37050000.0,-6394000.0,396894000.0,304963000.0,51.380001068115234,1523100.0
2019-05-09,2019,10-Q,Q1,Etsy,ETSY,gig,1,2019,2019-03-31,internet-retail,consumer-cyclical,67.22000122070312,1219100.0,120912000.0,12967000.0,13798000.0,901851000.0,500953000.0,396894000.0,14000.0,119771702.0,605583000.0,121769238.0,27025000.0,208689000.0,-29901000.0,17577000.0,330498000.0,364967000.0,47.56999969482422,1527000.0
2019-08-02,2019,10-Q,Q2,Etsy,ETSY,gig,2,2019,2019-06-30,internet-retail,consumer-cyclical,61.369998931884766,16253800.0,253299000.0,12967000.0,26560000.0,901851000.0,500953000.0,396894000.0,1260000.0,119771702.0,901851000.0,119771702.0,14000.0,500953000.0,12967000.0,13798000.0,396894000.0,120912000.0,67.22000122070312,1219100.0
2019-10-31,2019,10-Q,Q3,Etsy,ETSY,gig,3,2019,2019-09-30,internet-retail,consumer-cyclical,56.5,2507500.0,403665000.0,12967000.0,45297000.0,901851000.0,500953000.0,396894000.0,-4038000.0,119771702.0,901851000.0,119771702.0,1260000.0,500953000.0,12967000.0,26560000.0,396894000.0,253299000.0,61.369998931884766,16253800.0
