ticker,date,filed_date,fiscal_year,form,fiscal_period,EarningsPerShareDiluted,NetIncomeLoss,SharesOutstanding,NetWorth
AVON,2009-06-30,2009-07-30,2009,10-Q,Q2,0.97,420300000.0,1093611275.3395917,712300000.0
AVON,2009-09-30,2009-10-29,2009,10-Q,Q3,1.49,642900000.0,466276818.5018634,712300000.0
AVON,2009-12-31,2010-02-25,2009,10-K,FY,1.21,530700000.0,433470000.0,712300000.0
AVON,2010-03-31,2010-04-30,2010,10-Q,Q1,0.27,117300000.0,211997492.41438013,1312600000.0
AVON,2010-06-30,2010-07-29,2010,10-Q,Q2,0.46,200200000.0,853280000.0,1312600000.0
AVON,2010-09-30,2010-10-28,2010,10-Q,Q3,0.83,356400000.0,569013333.3333333,1312600000.0
AVON,2010-12-31,2011-02-24,2010,10-K,FY,2.03,875300000.0,426360000.0,563200000.0
AVON,2011-03-31,2011-05-03,2011,10-Q,Q1,0.1,42500000.0,1710880000.0,1672600000.0
AVON,2011-06-30,2011-07-28,2011,10-Q,Q2,0.48,210100000.0,856.6,1672600000.0
AVON,2011-09-30,2011-10-27,2011,10-Q,Q3,0.87,376800000.0,571.3733333333332,1672600000.0
AVON,2011-12-31,2012-02-29,2011,10-K,FY,1.45,625800000.0,426900000.0,622300000.0
AVON,2012-03-31,2012-05-01,2012,10-Q,Q1,0.33,143600000.0,1719200000.0,1585200000.0
AVON,2012-06-30,2012-08-01,2012,10-Q,Q2,0.8,349800000.0,860400000.0,1585200000.0
AVON,2012-09-30,2012-11-01,2012,10-Q,Q3,1.18,514000000.0,573733333.3333333,1585200000.0
AVON,2012-12-31,2013-02-28,2012,10-K,FY,1.39,606300000.0,428800000.0,1723900000.0
AVON,2013-03-31,2013-04-30,2013,10-Q,Q1,0.06,26500000.0,1725200000.0,1233300000.0
AVON,2013-06-30,2013-08-01,2013,10-Q,Q2,0.2,88100000.0,863200000.0,1233300000.0
AVON,2013-09-30,2013-10-31,2013,10-Q,Q3,0.27,119700000.0,575733333.3333333,1233300000.0
AVON,2013-12-31,2014-02-26,2013,10-K,FY,1.18,513600000.0,430500000.0,1585800000.0
AVON,2014-03-31,2014-05-01,2014,10-Q,Q1,-0.03,-13700000.0,1730000000.0,1127500000.0
AVON,2014-06-30,2014-07-31,2014,10-Q,Q2,0.04,18200000.0,866000000.0,1127500000.0
AVON,2014-09-30,2014-10-30,2014,10-Q,Q3,0.03,12700000.0,577733333.3333333,1127500000.0
AVON,2014-12-31,2015-02-24,2014,10-K,FY,-0.1,-42500000.0,431900000.0,2017700000.0
AVON,2015-03-31,2015-04-30,2015,10-Q,Q1,-0.38,-168300000.0,1736400000.0,305300000.0
AVON,2015-03-31,2016-05-05,2015,10-Q,Q1,-0.33,-147300000.0,1739600000.0,-1056400000.0
AVON,2015-06-30,2015-07-30,2015,10-Q,Q2,-0.34,-149300000.0,868800000.0,305300000.0
AVON,2015-09-30,2015-11-04,2015,10-Q,Q3,-0.13,-57900000.0,579200000.0,305300000.0
AVON,2015-12-31,2016-02-23,2015,10-K,FY,-0.13,-56400000.0,433400000.0,305300000.0
AVON,2016-06-30,2016-08-02,2016,10-Q,Q2,-0.27,-118500000.0,870000000.0,-1056400000.0
AVON,2016-09-30,2016-11-03,2016,10-Q,Q3,-1.84,-815500000.0,580133333.3333333,-1056400000.0
AVON,2016-12-31,2017-02-22,2016,10-K,FY,-0.88,-388600000.0,434500000.0,-1056400000.0
AVON,2017-03-31,2017-05-04,2017,10-Q,Q1,-0.38,-165900000.0,1743600000.0,-391500000.0
AVON,2017-06-30,2017-08-03,2017,10-Q,Q2,-0.32,-132900000.0,872800000.0,-391500000.0
AVON,2017-09-30,2017-11-02,2017,10-Q,Q3,-0.25,-96900000.0,582266666.6666666,-391500000.0
AVON,2017-12-31,2018-02-22,2017,10-K,FY,-2.6,-1148900000.0,435200000.0,-391500000.0
AVON,2018-03-31,2018-05-03,2018,10-Q,Q1,-0.1,-36500000.0,1754400000.0,-246900000.0
AVON,2018-06-30,2018-08-03,2018,10-Q,Q2,-0.21,-82000000.0,878600000.0,-246900000.0
AVON,2018-09-30,2018-11-02,2018,10-Q,Q3,-0.2,-69500000.0,586000000.0,-246900000.0
AVON,2018-12-31,2019-02-21,2018,10-K,FY,-0.29,-107600000.0,437000000.0,-525900000.0
AVON,2019-03-31,2019-05-03,2019,10-Q,Q1,-0.06,-20300000.0,1763600000.0,-404700000.0
AVON,2019-06-30,2019-08-01,2019,10-Q,Q2,-0.15,-56400000.0,883000000.0,-404700000.0
AVON,2019-09-30,2019-10-31,2019,10-Q,Q3,0.09,58100000.0,589066666.6666666,-404700000.0
AVON,2019-12-31,2020-03-05,2019,10-K,FY,27526.417089545343,22000000.0,213291885.04719573,283200000.0
AVON,2020-03-31,2020-05-14,2020,10-Q,Q1,-322676.1397276495,-32700000.0,405.36,-405300000.0
AVON,2020-06-30,2020-08-14,2020,10-Q,Q2,-515097.6909413854,-52200000.0,202.68,-405300000.0
AVON,2020-09-30,2020-11-13,2020,10-Q,Q3,539767.1205841721,54700000.0,135.12,-405300000.0
AVON,2020-12-31,2021-03-05,2020,10-K,FY,-192421.55121373592,-19500000.0,101.34,-481600000.0
AVON,2021-03-31,2021-05-13,2021,10-Q,Q1,-1687388.9875666073,-171000000.0,405.36,-867200000.0
AVON,2021-06-30,2021-08-13,2021,10-Q,Q2,-2603118.215906848,-263800000.0,202.68,-867200000.0
AVON,2021-09-30,2021-11-12,2021,10-Q,Q3,-2926781.132820209,-296600000.0,135.12,-867200000.0
AVON,2021-12-31,2022-03-10,2021,10-K,FY,-2960.3315571343987,-300000.0,101.34,-345200000.0
AVON,2022-03-31,2022-05-06,2022,10-Q,Q1,-627590.2901124926,-63600000.0,405.36,-854700000.0
