ticker,date,filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,company,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares
AVON,2009-12-31,2010-02-25,2009,10-K,FY,9938700000.0,9938700000.0,9938700000.0,9938700000.0,9938700000.0,9938700000.0,,9938700000.0,9938700000.0,AVON,9938700000.0,1,1,0,1,1,1,1
AVON,2010-12-31,2011-02-24,2010,10-K,FY,10507500000.0,10507500000.0,10507500000.0,10507500000.0,10507500000.0,10507500000.0,,10507500000.0,10507500000.0,AVON,10507500000.0,1,1,0,1,1,1,1
AVON,2011-12-31,2012-02-29,2011,10-K,FY,10205200000.0,10205200000.0,10205200000.0,10205200000.0,10205200000.0,10205200000.0,,10205200000.0,10205200000.0,AVON,10205200000.0,1,1,0,1,1,1,1
AVON,2012-12-31,2013-02-28,2012,10-K,FY,10862800000.0,10862800000.0,10862800000.0,10862800000.0,10862800000.0,10862800000.0,,10862800000.0,10862800000.0,AVON,10862800000.0,1,1,0,1,1,1,1
AVON,2013-12-31,2014-02-26,2013,10-K,FY,11099500000.0,11099500000.0,11099500000.0,11099500000.0,11099500000.0,11099500000.0,,11099500000.0,11099500000.0,AVON,11099500000.0,1,1,0,1,1,1,1
AVON,2014-12-31,2015-02-24,2014,10-K,FY,10561400000.0,10561400000.0,10561400000.0,10561400000.0,10561400000.0,10561400000.0,,10561400000.0,10561400000.0,AVON,10561400000.0,1,1,0,1,1,1,1
AVON,2015-12-31,2016-02-23,2015,10-K,FY,8496800000.0,8496800000.0,8496800000.0,8496800000.0,8496800000.0,8496800000.0,,8496800000.0,8496800000.0,AVON,8496800000.0,1,1,0,1,1,1,1
AVON,2016-12-31,2017-02-22,2016,10-K,FY,7648000000.0,7648000000.0,7648000000.0,7648000000.0,7648000000.0,7648000000.0,,7648000000.0,7648000000.0,AVON,7648000000.0,1,1,0,1,1,1,1
AVON,2017-12-31,2018-02-22,2017,10-K,FY,6160500000.0,6160500000.0,6160500000.0,6160500000.0,6160500000.0,6160500000.0,,6160500000.0,6160500000.0,AVON,6160500000.0,1,1,0,1,1,1,1
AVON,2018-12-31,2019-02-21,2018,10-K,FY,816000000.0,816000000.0,816000000.0,816000000.0,816000000.0,816000000.0,,816000000.0,816000000.0,AVON,816000000.0,1,1,0,1,1,1,1
AVON,2019-12-31,2020-03-05,2019,10-K,FY,813800000.0,813800000.0,813800000.0,813800000.0,813800000.0,813800000.0,,813800000.0,813800000.0,AVON,813800000.0,1,1,0,1,1,1,1
AVON,2020-12-31,2021-03-05,2020,10-K,FY,5571300000.0,5571300000.0,5571300000.0,5571300000.0,5571300000.0,5571300000.0,,5571300000.0,5571300000.0,AVON,5571300000.0,1,1,0,1,1,1,1
AVON,2021-12-31,2022-03-10,2021,10-K,FY,4763200000.0,4763200000.0,4763200000.0,4763200000.0,4763200000.0,4763200000.0,,4763200000.0,4763200000.0,AVON,4763200000.0,1,1,0,1,1,1,1
AVON,2022-12-31,2023-03-14,2022,10-K,FY,3625200000.0,3625200000.0,3625200000.0,3625200000.0,3625200000.0,3625200000.0,,3625200000.0,3625200000.0,AVON,3625200000.0,1,1,0,1,1,1,1
CART,2023-12-31,2024-03-05,2023,10-K,FY,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,CART,1226000000.0,1,1,1,1,1,1,1
CART,2024-12-31,2025-02-28,2024,10-K,FY,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,CART,1831000000.0,1,1,1,1,1,1,1
CART,2025-12-31,2026-02-26,2025,10-K,FY,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,CART,2278000000.0,1,1,1,1,1,1,1
DASH,2020-12-31,2021-03-05,2020,10-K,FY,-210000000.0,,,-210000000.0,-210000000.0,-210000000.0,,-210000000.0,-210000000.0,DASH,-210000000.0,0,1,0,1,1,0,1
