filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,OperatingExpenses,RevenueFromContractWithCustomerExcludingAssessedTax,WeightedAverageNumberOfSharesOutstandingBasic,ticker,Revenues
2018-11-08,2018,10-Q,Q3,275189000.0,33740323.0,,140070000.0,1068000.0,98118000.0,147793000.0,,UPWK,
2019-03-07,2018,10-K,FY,275189000.0,33740323.0,,140070000.0,-16233000.0,116335000.0,164445000.0,,UPWK,
2019-05-08,2019,10-Q,Q1,391573000.0,106454321.0,,147828000.0,-6784000.0,45610000.0,59218000.0,,UPWK,
2019-08-07,2019,10-Q,Q2,391573000.0,106454321.0,,147828000.0,-7196000.0,87505000.0,121899000.0,,UPWK,
2019-11-06,2019,10-Q,Q3,391573000.0,106454321.0,,147828000.0,-14542000.0,134448000.0,186012000.0,,UPWK,
2020-03-02,2019,10-K,FY,391573000.0,106454321.0,,147828000.0,-4123000.0,140232000.0,202552000.0,,UPWK,
2020-05-06,2020,10-Q,Q1,446380000.0,113604398.0,,186956000.0,-5160000.0,52616000.0,68476000.0,,UPWK,
2020-08-04,2020,10-Q,Q2,446380000.0,113604398.0,,186956000.0,-7611000.0,107710000.0,142259000.0,,UPWK,
2020-11-04,2020,10-Q,Q3,446380000.0,113604398.0,,186956000.0,-11158000.0,166923000.0,220274000.0,,UPWK,
2021-02-24,2020,10-K,FY,446380000.0,113604398.0,,186956000.0,-19907000.0,183608000.0,253354000.0,,UPWK,
2021-05-04,2021,10-Q,Q1,529227000.0,124795222.0,,229917000.0,-10021000.0,68762000.0,83196000.0,,UPWK,
2021-07-29,2021,10-Q,Q2,529227000.0,124795222.0,-0.18,229917000.0,-21045000.0,141869000.0,170727000.0,115321264.0,UPWK,
2021-10-27,2021,10-Q,Q3,529227000.0,124795222.0,-0.2,229917000.0,-23792000.0,215050000.0,267475000.0,117120815.0,UPWK,
2022-02-15,2021,10-K,FY,529227000.0,124795222.0,-0.15,229917000.0,-16659000.0,231150000.0,300562000.0,109814604.0,UPWK,
2022-04-27,2022,10-Q,Q1,1081061000.0,129130478.0,-0.06,821544000.0,-7835000.0,90875000.0,113619000.0,125279109.0,UPWK,
2022-07-27,2022,10-Q,Q2,1081061000.0,129130478.0,-0.19,821544000.0,-24373000.0,198368000.0,237800000.0,126010689.0,UPWK,
2022-10-26,2022,10-Q,Q3,1081061000.0,129130478.0,-0.27,821544000.0,-33684000.0,299893000.0,365941000.0,126651490.0,UPWK,
2023-02-16,2022,10-K,FY,1081061000.0,129130478.0,-0.19,821544000.0,-22867000.0,291769000.0,373628000.0,118698567.0,UPWK,
2023-05-03,2023,10-Q,Q1,1080245000.0,132368265.0,-0.19,831366000.0,-24738000.0,127073000.0,141337000.0,129358872.0,UPWK,
2023-08-02,2023,10-Q,Q2,1080245000.0,132368265.0,-0.37,831366000.0,-48558000.0,266162000.0,298235000.0,129707197.0,UPWK,
2023-11-07,2023,10-Q,Q3,1080245000.0,132368265.0,-0.56,831366000.0,-73385000.0,409775000.0,456876000.0,130082683.0,UPWK,
2024-02-15,2023,10-K,FY,1080245000.0,132368265.0,-0.44,831366000.0,-56240000.0,421506000.0,502797000.0,127163591.0,UPWK,
2024-05-01,2024,10-Q,Q1,1037541000.0,137272754.0,-0.15,656466000.0,17167000.0,145469000.0,160858000.0,132835837.0,UPWK,
2024-08-07,2024,10-Q,Q2,1037541000.0,137272754.0,-0.18,656466000.0,13176000.0,279314000.0,329469000.0,133492087.0,UPWK,
2024-11-06,2024,10-Q,Q3,1037541000.0,137272754.0,-0.06,656466000.0,29513000.0,400308000.0,505202000.0,134152107.0,UPWK,
