filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,WeightedAverageNumberOfSharesOutstandingBasic,company,ticker,GrossProfit,OperatingExpenses
2009-07-31,2009,10-Q,Q2,2950000000.0,2950000000.0,2950000000.0,2950000000.0,2950000000.0,2950000000.0,2950000000.0,,2950000000.0,MMM,MMM,,
2009-10-30,2009,10-Q,Q3,4463000000.0,4463000000.0,4463000000.0,4463000000.0,4463000000.0,4463000000.0,4463000000.0,,4463000000.0,MMM,MMM,,
2010-02-16,2009,10-K,FY,6193000000.0,6193000000.0,6193000000.0,6193000000.0,6193000000.0,6193000000.0,6193000000.0,,6193000000.0,MMM,MMM,,
2010-05-05,2010,10-Q,Q1,803000000.0,803000000.0,803000000.0,803000000.0,803000000.0,803000000.0,803000000.0,,803000000.0,MMM,MMM,,
2010-08-04,2010,10-Q,Q2,1994000000.0,1994000000.0,1994000000.0,1994000000.0,1994000000.0,1994000000.0,1994000000.0,,1994000000.0,MMM,MMM,,
2010-11-05,2010,10-Q,Q3,3472000000.0,3472000000.0,3472000000.0,3472000000.0,3472000000.0,3472000000.0,3472000000.0,,3472000000.0,MMM,MMM,,
2011-02-16,2010,10-K,FY,5218000000.0,5218000000.0,5218000000.0,5218000000.0,5218000000.0,5218000000.0,5218000000.0,,5218000000.0,MMM,MMM,,
2011-05-05,2011,10-Q,Q1,1445000000.0,1445000000.0,1445000000.0,1445000000.0,1445000000.0,1445000000.0,1445000000.0,,1445000000.0,MMM,MMM,,
2011-08-04,2011,10-Q,Q2,3041000000.0,3041000000.0,3041000000.0,3041000000.0,3041000000.0,3041000000.0,3041000000.0,,3041000000.0,MMM,MMM,,
2011-11-03,2011,10-Q,Q3,4617000000.0,4617000000.0,4617000000.0,4617000000.0,4617000000.0,4617000000.0,4617000000.0,,4617000000.0,MMM,MMM,,
2012-02-16,2011,10-K,FY,4814000000.0,4814000000.0,4814000000.0,4814000000.0,4814000000.0,4814000000.0,4814000000.0,,4814000000.0,MMM,MMM,,
2012-05-03,2012,10-Q,Q1,1578000000.0,1578000000.0,1578000000.0,1578000000.0,1578000000.0,1578000000.0,1578000000.0,,1578000000.0,MMM,MMM,,
2012-08-02,2012,10-Q,Q2,3233000000.0,3233000000.0,3233000000.0,3233000000.0,3233000000.0,3233000000.0,3233000000.0,,3233000000.0,MMM,MMM,,
2012-11-01,2012,10-Q,Q3,4814000000.0,4814000000.0,4814000000.0,4814000000.0,4814000000.0,4814000000.0,4814000000.0,,4814000000.0,MMM,MMM,,
2013-02-14,2012,10-K,FY,5918000000.0,5918000000.0,5918000000.0,5918000000.0,5918000000.0,5918000000.0,5918000000.0,,5918000000.0,MMM,MMM,,
2013-05-02,2013,10-Q,Q1,1634000000.0,1634000000.0,1634000000.0,1634000000.0,1634000000.0,1634000000.0,1634000000.0,,1634000000.0,MMM,MMM,,
2013-08-01,2013,10-Q,Q2,3362000000.0,3362000000.0,3362000000.0,3362000000.0,3362000000.0,3362000000.0,3362000000.0,,3362000000.0,MMM,MMM,,
2013-10-31,2013,10-Q,Q3,5040000000.0,5040000000.0,5040000000.0,5040000000.0,5040000000.0,5040000000.0,5040000000.0,,5040000000.0,MMM,MMM,,
2014-02-13,2013,10-K,FY,6178000000.0,6178000000.0,6178000000.0,6178000000.0,6178000000.0,6178000000.0,6178000000.0,,6178000000.0,MMM,MMM,,
2014-05-01,2014,10-Q,Q1,1646000000.0,1646000000.0,1646000000.0,1646000000.0,1646000000.0,1646000000.0,1646000000.0,,1646000000.0,MMM,MMM,,
2014-07-31,2014,10-Q,Q2,3348000000.0,3348000000.0,3348000000.0,3348000000.0,3348000000.0,3348000000.0,3348000000.0,,3348000000.0,MMM,MMM,,
2014-10-30,2014,10-Q,Q3,5087000000.0,5087000000.0,5087000000.0,5087000000.0,5087000000.0,5087000000.0,5087000000.0,,5087000000.0,MMM,MMM,,
2015-02-12,2014,10-K,FY,6483000000.0,6483000000.0,6483000000.0,6483000000.0,6483000000.0,6483000000.0,6483000000.0,,6483000000.0,MMM,MMM,,
2015-04-30,2015,10-Q,Q1,1716000000.0,1716000000.0,1716000000.0,1716000000.0,1716000000.0,1716000000.0,1716000000.0,,1716000000.0,MMM,MMM,,
2015-07-30,2015,10-Q,Q2,3572000000.0,3572000000.0,3572000000.0,3572000000.0,3572000000.0,3572000000.0,3572000000.0,,3572000000.0,MMM,MMM,,
2015-10-29,2015,10-Q,Q3,5473000000.0,5473000000.0,5473000000.0,5473000000.0,5473000000.0,5473000000.0,5473000000.0,,5473000000.0,MMM,MMM,,
2016-02-11,2015,10-K,FY,6666000000.0,6666000000.0,6666000000.0,6666000000.0,6666000000.0,6666000000.0,6666000000.0,,6666000000.0,MMM,MMM,,
2016-05-03,2016,10-Q,Q1,1730000000.0,1730000000.0,1730000000.0,1730000000.0,1730000000.0,1730000000.0,1730000000.0,,1730000000.0,MMM,MMM,,
