ticker,date,filed_date,fiscal_year,form,fiscal_period,EarningsPerShareDiluted,NetIncomeLoss,SharesOutstanding,NetWorth
A,2009-12-31,2009-12-21,2009,10-K,FY,1.57,2337603255.0900126,394.0,2559000000.0
A,2010-03-31,2010-03-10,2010,10-Q,Q1,0.18,-252000274.7709694,1404.0,2514000000.0
A,2010-06-30,2010-06-07,2010,10-Q,Q2,-0.11,132512082.17843461,696.0,2514000000.0
A,2010-12-31,2010-12-20,2010,10-K,FY,1.87,2462223682.814762,363000000.0,2514000000.0
A,2011-03-31,2011-03-09,2011,10-Q,Q1,0.22,1550655313.408906,1392.0,3236000000.0
A,2011-06-30,2011-06-07,2011,10-Q,Q2,0.53,3150643239.3867035,696000000.0,3236000000.0
A,2011-09-30,2011-09-07,2011,10-Q,Q3,1.11,1311889758.7724862,464000000.0,3236000000.0
A,2011-12-31,2011-12-16,2011,10-K,FY,-0.09,4481000000.0,346000000.0,3236000000.0
A,2012-03-31,2012-03-05,2012,10-Q,Q1,0.54,858339512.9164997,1388000000.0,4316000000.0
A,2012-06-30,2012-06-04,2012,10-Q,Q2,1.11,1925835644.2463074,694000000.0,4316000000.0
A,2012-09-30,2012-09-05,2012,10-Q,Q3,2.04,-2579540450.533956,462666666.6666666,4316000000.0
A,2012-12-31,2012-12-20,2012,10-K,FY,1.94,5444000000.0,347000000.0,4316000000.0
A,2013-03-31,2013-03-06,2013,10-Q,Q1,0.65,1404129779.8192053,1392000000.0,5185000000.0
A,2013-06-30,2013-06-03,2013,10-Q,Q2,1.37,2433064319.6311474,696000000.0,5185000000.0
A,2013-09-30,2013-09-06,2013,10-Q,Q3,2.06,1854024845.5385406,464000000.0,5185000000.0
A,2013-12-31,2013-12-19,2013,10-K,FY,2.85,-1154068487.310576,347000000.0,5185000000.0
A,2014-03-31,2014-03-05,2014,10-Q,Q1,0.51,772964853.854996,1388000000.0,5289000000.0
A,2014-06-30,2014-06-04,2014,10-Q,Q2,0.98,1339130942.6568408,692000000.0,5289000000.0
A,2014-09-30,2014-09-02,2014,10-Q,Q3,1.47,1877369458.9159741,458666666.6666666,5289000000.0
A,2014-12-31,2014-12-22,2014,10-K,FY,3.27,1316819942.0803323,348000000.0,5289000000.0
A,2015-03-31,2015-03-10,2015,10-Q,Q1,0.58,1055647491.1970122,1332000000.0,5301000000.0
A,2015-06-30,2015-06-05,2015,10-Q,Q2,0.99,-251522665.39148712,666000000.0,5301000000.0
A,2015-09-30,2015-09-02,2015,10-Q,Q3,1.42,4617631484.908236,444000000.0,5301000000.0
