ticker,date,filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,company,GrossProfit,OperatingExpenses,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares
A,2009-12-31,2009-12-21,2009,10-K,FY,584000000.0,584000000.0,584000000.0,584000000.0,584000000.0,584000000.0,584000000.0,A,,,584000000.0,0,1,0,1,1,1,1
A,2010-12-31,2010-12-20,2010,10-K,FY,795000000.0,795000000.0,795000000.0,795000000.0,795000000.0,795000000.0,795000000.0,A,,,795000000.0,0,1,0,1,1,1,1
A,2011-12-31,2011-12-16,2011,10-K,FY,4481000000.0,4481000000.0,4481000000.0,4481000000.0,4481000000.0,4481000000.0,4481000000.0,A,,,4481000000.0,0,1,0,1,1,1,1
A,2012-12-31,2012-12-20,2012,10-K,FY,5444000000.0,5444000000.0,5444000000.0,5444000000.0,5444000000.0,5444000000.0,5444000000.0,A,,,5444000000.0,0,1,0,1,1,1,1
A,2013-12-31,2013-12-19,2013,10-K,FY,1071000000.0,1071000000.0,1071000000.0,1071000000.0,1071000000.0,1071000000.0,1071000000.0,A,,,1071000000.0,0,1,0,1,1,1,1
A,2014-12-31,2014-12-22,2014,10-K,FY,1119000000.0,1119000000.0,1119000000.0,1119000000.0,1119000000.0,1119000000.0,1119000000.0,A,,,1119000000.0,0,1,0,1,1,1,1
A,2015-12-31,2015-12-21,2015,10-K,FY,3894000000.0,3894000000.0,3894000000.0,3894000000.0,3894000000.0,3894000000.0,3894000000.0,A,,,3894000000.0,0,1,0,1,1,1,1
A,2016-12-31,2016-12-20,2016,10-K,FY,4048000000.0,4048000000.0,4048000000.0,4048000000.0,4048000000.0,4048000000.0,4048000000.0,A,,,4048000000.0,0,1,0,1,1,1,1
A,2017-12-31,2017-12-21,2017,10-K,FY,4038000000.0,4038000000.0,4038000000.0,4038000000.0,4038000000.0,4038000000.0,4038000000.0,A,,,4038000000.0,0,1,0,1,1,1,1
A,2018-12-31,2018-12-20,2018,10-K,FY,615000000.0,615000000.0,615000000.0,615000000.0,615000000.0,615000000.0,615000000.0,A,,,615000000.0,0,1,0,1,1,1,1
A,2019-12-31,2019-12-19,2019,10-K,FY,807000000.0,807000000.0,807000000.0,807000000.0,807000000.0,807000000.0,807000000.0,A,,,807000000.0,0,1,0,1,1,1,1
A,2020-12-31,2020-12-18,2020,10-K,FY,904000000.0,904000000.0,904000000.0,904000000.0,904000000.0,904000000.0,904000000.0,A,,,904000000.0,0,1,0,1,1,1,1
A,2021-12-31,2021-12-17,2021,10-K,FY,941000000.0,941000000.0,941000000.0,941000000.0,941000000.0,941000000.0,941000000.0,A,,,941000000.0,0,1,0,1,1,1,1
A,2022-12-31,2022-12-21,2022,10-K,FY,846000000.0,846000000.0,846000000.0,846000000.0,846000000.0,846000000.0,846000000.0,A,,,846000000.0,0,1,0,1,1,1,1
A,2023-12-31,2023-12-20,2023,10-K,FY,1347000000.0,1347000000.0,1347000000.0,1347000000.0,1347000000.0,1347000000.0,1347000000.0,A,,,1347000000.0,0,1,0,1,1,1,1
A,2024-12-31,2024-12-20,2024,10-K,FY,1618000000.0,1618000000.0,1618000000.0,1618000000.0,1618000000.0,1618000000.0,1618000000.0,A,,,1618000000.0,0,1,0,1,1,1,1
A,2025-12-31,2025-12-22,2025,10-K,FY,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,1350000000.0,A,,,1350000000.0,0,1,0,1,1,1,1
AAPL,2009-12-31,2009-10-27,2009,10-K,FY,8154000000.0,8154000000.0,8154000000.0,8154000000.0,8154000000.0,8154000000.0,8154000000.0,AAPL,8154000000.0,8154000000.0,8154000000.0,1,1,1,1,1,1,1
AAPL,2010-12-31,2010-10-27,2010,10-K,FY,13197000000.0,13197000000.0,13197000000.0,13197000000.0,13197000000.0,13197000000.0,13197000000.0,AAPL,13197000000.0,13197000000.0,13197000000.0,1,1,1,1,1,1,1
AAPL,2011-12-31,2011-10-26,2011,10-K,FY,17222000000.0,17222000000.0,17222000000.0,17222000000.0,17222000000.0,17222000000.0,17222000000.0,AAPL,17222000000.0,17222000000.0,17222000000.0,1,1,1,1,1,1,1
AAPL,2012-12-31,2012-10-31,2012,10-K,FY,25684000000.0,25684000000.0,25684000000.0,25684000000.0,25684000000.0,25684000000.0,25684000000.0,AAPL,25684000000.0,25684000000.0,25684000000.0,1,1,1,1,1,1,1
AAPL,2013-12-31,2013-10-30,2013,10-K,FY,43818000000.0,43818000000.0,43818000000.0,43818000000.0,43818000000.0,43818000000.0,43818000000.0,AAPL,43818000000.0,43818000000.0,43818000000.0,1,1,1,1,1,1,1
AAPL,2014-12-31,2014-10-27,2014,10-K,FY,68662000000.0,68662000000.0,68662000000.0,68662000000.0,68662000000.0,68662000000.0,68662000000.0,AAPL,68662000000.0,68662000000.0,68662000000.0,1,1,1,1,1,1,1
AAPL,2015-12-31,2015-10-28,2015,10-K,FY,64304000000.0,64304000000.0,64304000000.0,64304000000.0,64304000000.0,64304000000.0,64304000000.0,AAPL,64304000000.0,64304000000.0,64304000000.0,1,1,1,1,1,1,1
AAPL,2016-12-31,2016-10-26,2016,10-K,FY,70537000000.0,70537000000.0,70537000000.0,70537000000.0,70537000000.0,70537000000.0,70537000000.0,AAPL,70537000000.0,70537000000.0,70537000000.0,1,1,1,1,1,1,1
AAPL,2017-12-31,2017-11-03,2017,10-K,FY,93626000000.0,93626000000.0,93626000000.0,93626000000.0,93626000000.0,93626000000.0,93626000000.0,AAPL,93626000000.0,93626000000.0,93626000000.0,1,1,1,1,1,1,1
AAPL,2018-12-31,2018-11-05,2018,10-K,FY,215639000000.0,215639000000.0,215639000000.0,215639000000.0,215639000000.0,215639000000.0,215639000000.0,AAPL,215639000000.0,215639000000.0,215639000000.0,1,1,1,1,1,1,1
AAPL,2019-12-31,2019-10-31,2019,10-K,FY,88186000000.0,88186000000.0,88186000000.0,88186000000.0,88186000000.0,88186000000.0,88186000000.0,AAPL,88186000000.0,88186000000.0,88186000000.0,1,1,1,1,1,1,1
AAPL,2020-12-31,2020-10-30,2020,10-K,FY,101839000000.0,101839000000.0,101839000000.0,101839000000.0,101839000000.0,101839000000.0,101839000000.0,AAPL,101839000000.0,101839000000.0,101839000000.0,1,1,1,1,1,1,1
AAPL,2021-12-31,2021-10-29,2021,10-K,FY,98392000000.0,98392000000.0,98392000000.0,98392000000.0,98392000000.0,98392000000.0,98392000000.0,AAPL,98392000000.0,98392000000.0,98392000000.0,1,1,1,1,1,1,1
AAPL,2022-12-31,2022-10-28,2022,10-K,FY,104956000000.0,104956000000.0,104956000000.0,104956000000.0,104956000000.0,104956000000.0,104956000000.0,AAPL,104956000000.0,104956000000.0,104956000000.0,1,1,1,1,1,1,1
AAPL,2023-12-31,2023-11-03,2023,10-K,FY,152836000000.0,152836000000.0,152836000000.0,152836000000.0,152836000000.0,152836000000.0,152836000000.0,AAPL,152836000000.0,152836000000.0,152836000000.0,1,1,1,1,1,1,1
AAPL,2024-12-31,2024-11-01,2024,10-K,FY,170782000000.0,170782000000.0,170782000000.0,170782000000.0,170782000000.0,170782000000.0,170782000000.0,AAPL,170782000000.0,170782000000.0,170782000000.0,1,1,1,1,1,1,1
AAPL,2025-12-31,2025-10-31,2025,10-K,FY,169148000000.0,169148000000.0,169148000000.0,169148000000.0,169148000000.0,169148000000.0,169148000000.0,AAPL,169148000000.0,169148000000.0,169148000000.0,1,1,1,1,1,1,1
ABBV,2013-12-31,2014-02-21,2013,10-K,FY,3017000000.0,,3017000000.0,,3017000000.0,3017000000.0,3017000000.0,ABBV,3017000000.0,,3017000000.0,1,1,0,0,1,0,1
ABBV,2014-12-31,2015-02-20,2014,10-K,FY,3176000000.0,,3176000000.0,,3176000000.0,3176000000.0,3176000000.0,ABBV,3176000000.0,,3176000000.0,1,1,0,0,1,0,1
ABBV,2015-12-31,2016-02-19,2015,10-K,FY,3463000000.0,,3463000000.0,,3463000000.0,3463000000.0,3463000000.0,ABBV,3463000000.0,,3463000000.0,1,1,0,0,1,0,1
ABBV,2016-12-31,2017-02-17,2016,10-K,FY,4098000000.0,,4098000000.0,,4098000000.0,4098000000.0,4098000000.0,ABBV,4098000000.0,,4098000000.0,1,1,0,0,1,0,1
ABBV,2017-12-31,2018-02-16,2017,10-K,FY,4589000000.0,,4589000000.0,,4589000000.0,4589000000.0,4589000000.0,ABBV,4589000000.0,,4589000000.0,1,1,0,0,1,0,1
ABBV,2018-12-31,2019-02-27,2018,10-K,FY,25638000000.0,,25638000000.0,,25638000000.0,25638000000.0,25638000000.0,ABBV,25638000000.0,,25638000000.0,1,1,0,0,1,0,1
ABBV,2019-12-31,2020-02-21,2019,10-K,FY,28216000000.0,,28216000000.0,,28216000000.0,28216000000.0,28216000000.0,ABBV,28216000000.0,,28216000000.0,1,1,0,0,1,0,1
ABBV,2020-12-31,2021-02-19,2020,10-K,FY,32753000000.0,,32753000000.0,,32753000000.0,32753000000.0,32753000000.0,ABBV,32753000000.0,,32753000000.0,1,1,0,0,1,0,1
ABBV,2021-12-31,2022-02-18,2021,10-K,FY,33266000000.0,,33266000000.0,,33266000000.0,33266000000.0,33266000000.0,ABBV,33266000000.0,,33266000000.0,1,1,0,0,1,0,1
ABBV,2022-12-31,2023-02-17,2022,10-K,FY,45804000000.0,,45804000000.0,,45804000000.0,45804000000.0,45804000000.0,ABBV,45804000000.0,,45804000000.0,1,1,0,0,1,0,1
ABBV,2023-12-31,2024-02-20,2023,10-K,FY,56197000000.0,,56197000000.0,,56197000000.0,56197000000.0,56197000000.0,ABBV,56197000000.0,,56197000000.0,1,1,0,0,1,0,1
ABBV,2024-12-31,2025-02-14,2024,10-K,FY,58054000000.0,,58054000000.0,,58054000000.0,58054000000.0,58054000000.0,ABBV,58054000000.0,,58054000000.0,1,1,0,0,1,0,1
ABBV,2025-12-31,2026-02-20,2025,10-K,FY,54318000000.0,,54318000000.0,,54318000000.0,54318000000.0,54318000000.0,ABBV,54318000000.0,,54318000000.0,1,1,0,0,1,0,1
ABNB,2021-12-31,2022-02-25,2021,10-K,FY,-501543000.0,,-501543000.0,-501543000.0,-501543000.0,-501543000.0,-501543000.0,ABNB,,,-501543000.0,0,1,0,1,1,0,1
ABNB,2022-12-31,2023-02-17,2022,10-K,FY,-3590000000.0,,-3590000000.0,-3590000000.0,-3590000000.0,-3590000000.0,-3590000000.0,ABNB,,,-3590000000.0,0,1,0,1,1,0,1
ABNB,2023-12-31,2024-02-16,2023,10-K,FY,429000000.0,,429000000.0,429000000.0,429000000.0,429000000.0,429000000.0,ABNB,,,429000000.0,0,1,0,1,1,0,1
ABNB,2024-12-31,2025-02-13,2024,10-K,FY,1802000000.0,,1802000000.0,1802000000.0,1802000000.0,1802000000.0,1802000000.0,ABNB,,,1802000000.0,0,1,0,1,1,0,1
ABNB,2025-12-31,2026-02-12,2025,10-K,FY,1518000000.0,,1518000000.0,1518000000.0,1518000000.0,1518000000.0,1518000000.0,ABNB,,,1518000000.0,0,1,0,1,1,0,1
ABT,2009-12-31,2010-02-19,2009,10-K,FY,4578545000.0,,4578545000.0,,4578545000.0,4578545000.0,4578545000.0,ABT,,,4578545000.0,0,1,0,0,1,0,1
ABT,2010-12-31,2011-02-18,2010,10-K,FY,3804500000.0,,3804500000.0,,3804500000.0,3804500000.0,3804500000.0,ABT,3804500000.0,,3804500000.0,1,1,0,0,1,0,1
ABT,2011-12-31,2012-02-21,2011,10-K,FY,3782400000.0,,3782400000.0,,3782400000.0,3782400000.0,3782400000.0,ABT,3782400000.0,,3782400000.0,1,1,0,0,1,0,1
ABT,2012-12-31,2013-02-15,2012,10-K,FY,4363200000.0,,4363200000.0,,4363200000.0,4363200000.0,4363200000.0,ABT,4363200000.0,,4363200000.0,1,1,0,0,1,0,1
ABT,2013-12-31,2014-02-21,2013,10-K,FY,2716000000.0,,2716000000.0,,2716000000.0,2716000000.0,2716000000.0,ABT,2716000000.0,,2716000000.0,1,1,0,0,1,0,1
ABT,2014-12-31,2015-02-27,2014,10-K,FY,2479000000.0,,2479000000.0,,2479000000.0,2479000000.0,2479000000.0,ABT,2479000000.0,,2479000000.0,1,1,0,0,1,0,1
ABT,2015-12-31,2016-02-19,2015,10-K,FY,2354000000.0,,2354000000.0,,2354000000.0,2354000000.0,2354000000.0,ABT,2354000000.0,,2354000000.0,1,1,0,0,1,0,1
ABT,2016-12-31,2017-02-17,2016,10-K,FY,2660000000.0,,2660000000.0,,2660000000.0,2660000000.0,2660000000.0,ABT,2660000000.0,,2660000000.0,1,1,0,0,1,0,1
ABT,2017-12-31,2018-02-16,2017,10-K,FY,2601000000.0,,2601000000.0,,2601000000.0,2601000000.0,2601000000.0,ABT,2601000000.0,,2601000000.0,1,1,0,0,1,0,1
ABT,2018-12-31,2019-02-22,2018,10-K,FY,2751000000.0,,2751000000.0,,2751000000.0,2751000000.0,2751000000.0,ABT,2751000000.0,,2751000000.0,1,1,0,0,1,0,1
ABT,2019-12-31,2020-02-21,2019,10-K,FY,3739000000.0,,3739000000.0,,3739000000.0,3739000000.0,3739000000.0,ABT,3739000000.0,,3739000000.0,1,1,0,0,1,0,1
ABT,2020-12-31,2021-02-19,2020,10-K,FY,3650000000.0,,3650000000.0,,3650000000.0,3650000000.0,3650000000.0,ABT,,,3650000000.0,0,1,0,0,1,0,1
ABT,2021-12-31,2022-02-18,2021,10-K,FY,4532000000.0,,4532000000.0,,4532000000.0,4532000000.0,4532000000.0,ABT,,,4532000000.0,0,1,0,0,1,0,1
ABT,2022-12-31,2023-02-17,2022,10-K,FY,5357000000.0,,5357000000.0,,5357000000.0,5357000000.0,5357000000.0,ABT,,,5357000000.0,0,1,0,0,1,0,1
ABT,2023-12-31,2024-02-16,2023,10-K,FY,8425000000.0,,8425000000.0,,8425000000.0,8425000000.0,8425000000.0,ABT,,,8425000000.0,0,1,0,0,1,0,1
ABT,2024-12-31,2025-02-21,2024,10-K,FY,8362000000.0,,8362000000.0,,8362000000.0,8362000000.0,8362000000.0,ABT,,,8362000000.0,0,1,0,0,1,0,1
ABT,2025-12-31,2026-02-20,2025,10-K,FY,6478000000.0,,6478000000.0,,6478000000.0,6478000000.0,6478000000.0,ABT,,,6478000000.0,0,1,0,0,1,0,1
ACGL,2010-12-31,2011-02-28,2010,10-K,FY,2966813000.0,2966813000.0,2966813000.0,2966813000.0,2966813000.0,,2966813000.0,ACGL,,,2966813000.0,0,0,0,1,1,1,1
ACGL,2011-12-31,2012-02-29,2011,10-K,FY,3501622000.0,3501622000.0,3501622000.0,3501622000.0,3501622000.0,,3501622000.0,ACGL,,,3501622000.0,0,0,0,1,1,1,1
ACGL,2012-12-31,2013-03-01,2012,10-K,FY,3244067000.0,3244067000.0,3244067000.0,3244067000.0,3244067000.0,,3244067000.0,ACGL,,,3244067000.0,0,0,0,1,1,1,1
ACGL,2013-12-31,2014-03-03,2013,10-K,FY,3063307000.0,3063307000.0,3063307000.0,3063307000.0,3063307000.0,,3063307000.0,ACGL,,,3063307000.0,0,0,0,1,1,1,1
ACGL,2014-12-31,2015-02-27,2014,10-K,FY,3482381000.0,3482381000.0,3482381000.0,3482381000.0,3482381000.0,,3482381000.0,ACGL,,,3482381000.0,0,0,0,1,1,1,1
ACGL,2015-12-31,2016-02-26,2015,10-K,FY,3526157000.0,3526157000.0,3526157000.0,3526157000.0,3526157000.0,,3526157000.0,ACGL,,,3526157000.0,0,0,0,1,1,1,1
ACGL,2016-12-31,2017-03-01,2016,10-K,FY,3988873000.0,3988873000.0,3988873000.0,3988873000.0,3988873000.0,,3988873000.0,ACGL,,,3988873000.0,0,0,0,1,1,1,1
ACGL,2017-12-31,2018-02-28,2017,10-K,FY,3936590000.0,3936590000.0,3936590000.0,3936590000.0,3936590000.0,,3936590000.0,ACGL,,,3936590000.0,0,0,0,1,1,1,1
ACGL,2018-12-31,2019-02-28,2018,10-K,FY,4463556000.0,4463556000.0,4463556000.0,4463556000.0,4463556000.0,,4463556000.0,ACGL,,,4463556000.0,0,0,0,1,1,1,1
ACGL,2019-12-31,2020-02-28,2019,10-K,FY,5627375000.0,5627375000.0,5627375000.0,5627375000.0,5627375000.0,,5627375000.0,ACGL,,,5627375000.0,0,0,0,1,1,1,1
ACGL,2020-12-31,2021-02-26,2020,10-K,FY,5450568000.0,5450568000.0,5450568000.0,5450568000.0,5450568000.0,,5450568000.0,ACGL,,,5450568000.0,0,0,0,1,1,1,1
ACGL,2020-12-31,2022-02-25,2020,10-K,FY,6925967000.0,6925967000.0,6925967000.0,6925967000.0,6925967000.0,,6925967000.0,ACGL,,,6925967000.0,0,0,0,1,1,1,1
ACGL,2022-12-31,2023-02-24,2022,10-K,FY,8508509000.0,8508509000.0,8508509000.0,8508509000.0,8508509000.0,,8508509000.0,ACGL,,,8508509000.0,0,0,0,1,1,1,1
ACGL,2023-12-31,2024-02-23,2023,10-K,FY,9248000000.0,9248000000.0,9248000000.0,9248000000.0,9248000000.0,,9248000000.0,ACGL,,,9248000000.0,0,0,0,1,1,1,1
ACGL,2024-12-31,2025-02-27,2024,10-K,FY,9613000000.0,9613000000.0,9613000000.0,9613000000.0,9613000000.0,,9613000000.0,ACGL,,,9613000000.0,0,0,0,1,1,1,1
ACGL,2025-12-31,2026-02-26,2025,10-K,FY,13634000000.0,13634000000.0,13634000000.0,13634000000.0,13634000000.0,,13634000000.0,ACGL,,,13634000000.0,0,0,0,1,1,1,1
ACN,2010-12-31,2010-10-26,2010,10-K,FY,25313826000.0,,25313826000.0,,25313826000.0,25313826000.0,25313826000.0,ACN,,,25313826000.0,0,1,0,0,1,0,1
ACN,2011-12-31,2011-10-21,2011,10-K,FY,23170968000.0,,23170968000.0,,23170968000.0,23170968000.0,23170968000.0,ACN,,,23170968000.0,0,1,0,0,1,0,1
ACN,2012-12-31,2012-10-30,2012,10-K,FY,23094078000.0,,23094078000.0,,23094078000.0,23094078000.0,23094078000.0,ACN,,,23094078000.0,0,1,0,0,1,0,1
ACN,2013-12-31,2013-10-29,2013,10-K,FY,27352914000.0,,27352914000.0,,27352914000.0,27352914000.0,27352914000.0,ACN,,,27352914000.0,0,1,0,0,1,0,1
ACN,2014-12-31,2014-10-24,2014,10-K,FY,29777985000.0,,29777985000.0,,29777985000.0,29777985000.0,29777985000.0,ACN,,,29777985000.0,0,1,0,0,1,0,1
ACN,2015-12-31,2015-10-30,2015,10-K,FY,30394285000.0,,30394285000.0,,30394285000.0,30394285000.0,30394285000.0,ACN,,,30394285000.0,0,1,0,0,1,0,1
ACN,2016-12-31,2016-10-28,2016,10-K,FY,31874678000.0,,31874678000.0,,31874678000.0,31874678000.0,31874678000.0,ACN,,,31874678000.0,0,1,0,0,1,0,1
ACN,2017-12-31,2017-10-26,2017,10-K,FY,32914424000.0,,32914424000.0,,32914424000.0,32914424000.0,32914424000.0,ACN,,,32914424000.0,0,1,0,0,1,0,1
ACN,2018-12-31,2018-10-24,2018,10-K,FY,34797661000.0,,34797661000.0,,34797661000.0,34797661000.0,34797661000.0,ACN,,,34797661000.0,0,1,0,0,1,0,1
ACN,2019-12-31,2019-10-29,2019,10-K,FY,36176841000.0,,36176841000.0,,36176841000.0,36176841000.0,36176841000.0,ACN,,,36176841000.0,0,1,0,0,1,0,1
ACN,2020-12-31,2020-10-22,2020,10-K,FY,40992534000.0,,40992534000.0,,40992534000.0,40992534000.0,40992534000.0,ACN,,,40992534000.0,0,1,0,0,1,0,1
ACN,2021-12-31,2021-10-15,2021,10-K,FY,43215013000.0,,43215013000.0,,43215013000.0,43215013000.0,43215013000.0,ACN,,,43215013000.0,0,1,0,0,1,0,1
ACN,2022-12-31,2022-10-12,2022,10-K,FY,44327039000.0,,44327039000.0,,44327039000.0,44327039000.0,44327039000.0,ACN,,,44327039000.0,0,1,0,0,1,0,1
ACN,2023-12-31,2023-10-12,2023,10-K,FY,50533389000.0,,50533389000.0,,50533389000.0,50533389000.0,50533389000.0,ACN,,,50533389000.0,0,1,0,0,1,0,1
ACN,2024-12-31,2024-10-10,2024,10-K,FY,61594305000.0,,61594305000.0,,61594305000.0,61594305000.0,61594305000.0,ACN,,,61594305000.0,0,1,0,0,1,0,1
ACN,2025-12-31,2025-10-10,2025,10-K,FY,64111745000.0,,64111745000.0,,64111745000.0,64111745000.0,64111745000.0,ACN,,,64111745000.0,0,1,0,0,1,0,1
ADBE,2009-12-31,2010-01-22,2009,10-K,FY,3157881000.0,3157881000.0,3157881000.0,3157881000.0,3157881000.0,3157881000.0,3157881000.0,ADBE,3157881000.0,3157881000.0,3157881000.0,1,1,1,1,1,1,1
ADBE,2010-12-31,2011-01-27,2010,10-K,FY,3579889000.0,3579889000.0,3579889000.0,3579889000.0,3579889000.0,3579889000.0,3579889000.0,ADBE,3579889000.0,3579889000.0,3579889000.0,1,1,1,1,1,1,1
ADBE,2011-12-31,2012-01-26,2011,10-K,FY,2945853000.0,2945853000.0,2945853000.0,2945853000.0,2945853000.0,2945853000.0,2945853000.0,ADBE,2945853000.0,2945853000.0,2945853000.0,1,1,1,1,1,1,1
ADBE,2012-12-31,2013-01-22,2012,10-K,FY,3800000000.0,3800000000.0,3800000000.0,3800000000.0,3800000000.0,3800000000.0,3800000000.0,ADBE,3800000000.0,3800000000.0,3800000000.0,1,1,1,1,1,1,1
ADBE,2013-12-31,2014-01-21,2013,10-K,FY,4216258000.0,4216258000.0,4216258000.0,4216258000.0,4216258000.0,4216258000.0,4216258000.0,ADBE,4216258000.0,4216258000.0,4216258000.0,1,1,1,1,1,1,1
ADBE,2014-12-31,2015-01-20,2014,10-K,FY,4403677000.0,4403677000.0,4403677000.0,4403677000.0,4403677000.0,4403677000.0,4403677000.0,ADBE,4403677000.0,4403677000.0,4403677000.0,1,1,1,1,1,1,1
ADBE,2015-12-31,2016-01-19,2015,10-K,FY,4055240000.0,4055240000.0,4055240000.0,4055240000.0,4055240000.0,4055240000.0,4055240000.0,ADBE,4055240000.0,4055240000.0,4055240000.0,1,1,1,1,1,1,1
ADBE,2016-12-31,2017-01-20,2016,10-K,FY,4147065000.0,4147065000.0,4147065000.0,4147065000.0,4147065000.0,4147065000.0,4147065000.0,ADBE,4147065000.0,4147065000.0,4147065000.0,1,1,1,1,1,1,1
ADBE,2017-12-31,2018-01-22,2017,10-K,FY,4795511000.0,4795511000.0,4795511000.0,4795511000.0,4795511000.0,4795511000.0,4795511000.0,ADBE,4795511000.0,4795511000.0,4795511000.0,1,1,1,1,1,1,1
