filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,WeightedAverageNumberOfSharesOutstandingBasic,ticker,OperatingExpenses
2009-07-31,2009,10-Q,Q2,25793000000.0,,2.7,15489000000.0,1933000000.0,,,704300000.0,MMM,
2009-10-30,2009,10-Q,Q3,25793000000.0,,4.11,15489000000.0,2924000000.0,,,701300000.0,MMM,
2010-02-16,2009,10-K,FY,25793000000.0,693543287.0,5.6,15489000000.0,4096000000.0,,,718300000.0,MMM,
2010-05-05,2010,10-Q,Q1,27250000000.0,,0.74,13948000000.0,518000000.0,,,693500000.0,MMM,
2010-08-04,2010,10-Q,Q2,27250000000.0,,1.86,13948000000.0,1301000000.0,,,695200000.0,MMM,
2010-11-05,2010,10-Q,Q3,27250000000.0,,3.21,13948000000.0,2258000000.0,,,697700000.0,MMM,
2011-02-16,2010,10-K,FY,25793000000.0,710599119.0,4.89,13948000000.0,3460000000.0,,,699200000.0,MMM,
2011-05-05,2011,10-Q,Q1,30156000000.0,,1.29,14139000000.0,930000000.0,,,711800000.0,MMM,
2011-08-04,2011,10-Q,Q2,30156000000.0,,2.83,14139000000.0,2051000000.0,,,713100000.0,MMM,
2011-11-03,2011,10-Q,Q3,30156000000.0,,4.36,14139000000.0,,,,713400000.0,MMM,
2012-02-16,2011,10-K,FY,27250000000.0,711977608.0,4.52,14139000000.0,,,,700500000.0,MMM,
2012-05-03,2012,10-Q,Q1,31616000000.0,,1.49,15754000000.0,1081000000.0,,,711500000.0,MMM,
2012-08-02,2012,10-Q,Q2,31616000000.0,,3.09,15754000000.0,2241000000.0,,,712500000.0,MMM,
2012-11-01,2012,10-Q,Q3,31616000000.0,,4.61,15754000000.0,3329000000.0,,,710900000.0,MMM,
2013-02-14,2012,10-K,FY,30156000000.0,694970041.0,5.63,15754000000.0,4085000000.0,,,713700000.0,MMM,
2013-05-02,2013,10-Q,Q1,33876000000.0,,1.59,15836000000.0,1125000000.0,,,696800000.0,MMM,
2013-08-01,2013,10-Q,Q2,33876000000.0,,3.25,15836000000.0,2292000000.0,,,695500000.0,MMM,
2013-10-31,2013,10-Q,Q3,33876000000.0,,4.91,15836000000.0,3453000000.0,,,694700000.0,MMM,
2014-02-13,2013,10-K,FY,31616000000.0,687091650.0,5.96,15836000000.0,4283000000.0,,,708500000.0,MMM,
2014-05-01,2014,10-Q,Q1,33550000000.0,,1.61,15602000000.0,1129000000.0,,,691100000.0,MMM,
2014-07-31,2014,10-Q,Q2,33550000000.0,,3.32,15602000000.0,2326000000.0,,,689600000.0,MMM,
2014-10-30,2014,10-Q,Q3,33550000000.0,,5.1,15602000000.0,3556000000.0,,,686400000.0,MMM,
2015-02-12,2014,10-K,FY,33876000000.0,663296239.0,6.32,15602000000.0,4444000000.0,,,693900000.0,MMM,
2015-04-30,2015,10-Q,Q1,31269000000.0,,1.79,18127000000.0,1207000000.0,,,661500000.0,MMM,
2015-07-30,2015,10-Q,Q2,31269000000.0,,3.7,18127000000.0,2474000000.0,,,656700000.0,MMM,
2015-10-29,2015,10-Q,Q3,31269000000.0,,5.67,18127000000.0,3777000000.0,,,652900000.0,MMM,
2016-02-11,2015,10-K,FY,33304000000.0,635134594.0,6.72,18067000000.0,4659000000.0,,,681900000.0,MMM,
2016-05-03,2016,10-Q,Q1,32718000000.0,,1.85,20971000000.0,1199000000.0,,,636200000.0,MMM,
2016-08-02,2016,10-Q,Q2,32718000000.0,,3.87,20971000000.0,2499000000.0,,,633800000.0,MMM,
2016-11-01,2016,10-Q,Q3,32718000000.0,,5.92,20971000000.0,3795000000.0,,,629400000.0,MMM,
2017-02-09,2016,10-K,FY,31374000000.0,609330124.0,7.49,21415000000.0,4956000000.0,,,649200000.0,MMM,
2017-05-03,2017,10-Q,Q1,32906000000.0,,2.05,22563000000.0,1275000000.0,,,607400000.0,MMM,
2017-08-01,2017,10-Q,Q2,32906000000.0,,4.13,22563000000.0,2566000000.0,,,607200000.0,MMM,
2017-10-31,2017,10-Q,Q3,32906000000.0,,6.28,22563000000.0,3895000000.0,,,606200000.0,MMM,
2018-02-08,2017,10-K,FY,32883000000.0,596726278.0,7.58,22563000000.0,4833000000.0,,,625600000.0,MMM,
2018-05-08,2018,10-Q,Q1,37987000000.0,,2.16,26365000000.0,1323000000.0,8278000000.0,7685000000.0,598100000.0,MMM,
2018-07-26,2018,10-Q,Q2,37987000000.0,,4.74,26365000000.0,2906000000.0,16668000000.0,15495000000.0,598100000.0,MMM,
2018-10-25,2018,10-Q,Q3,37987000000.0,,7.08,26365000000.0,4335000000.0,24820000000.0,23667000000.0,597900000.0,MMM,
2019-02-07,2018,10-K,FY,32906000000.0,594884237.0,8.16,26365000000.0,5050000000.0,30109000000.0,30109000000.0,604700000.0,MMM,
2019-04-26,2019,10-Q,Q1,36500000000.0,,0.98,26652000000.0,602000000.0,8278000000.0,8278000000.0,596200000.0,MMM,
2019-07-26,2019,10-Q,Q2,36500000000.0,,4.04,26652000000.0,2459000000.0,16668000000.0,16668000000.0,593800000.0,MMM,
