Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,year,month,date,Lyft_lag,DoorDash_lag,Instacart_lag,Grubhub_lag,Fiverr_lag,Upwork_lag,side hustle_lag,gig_lag,Herbalife_lag,Primerica_lag,Tupperware_lag,Avon_lag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,21.0,2010,1,2010-01-31,,,,,,,,,,,,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0,2010,2,2010-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,3.0,21.0,2010,3,2010-03-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,2.0,21.0,2010,4,2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,3.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0,2010,5,2010-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,2.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,23.0,2010,6,2010-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,23.0,2010,7,2010-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,22.0,2010,8,2010-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,23.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0,2010,9,2010-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,22.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,21.0,2010,10,2010-10-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,3.0,22.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,21.0,2010,11,2010-11-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,21.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,20.0,2010,12,2010-12-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,21.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,19.0,2011,1,2011-01-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,20.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,19.0,2011,2,2011-02-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,3.0,19.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,20.0,2011,3,2011-03-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,19.0
