ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,year,close,volume
AVON,2009-12-31,2010-02-25,10-K,FY,AVON,,,2009,9938700000.0,9938700000.0,9938700000.0,9938700000.0,9938700000.0,9938700000.0,,9938700000.0,9938700000.0,9938700000.0,1,1,0,1,1,1,1,2009,,
AVON,2010-12-31,2011-02-24,10-K,FY,AVON,,,2010,10507500000.0,10507500000.0,10507500000.0,10507500000.0,10507500000.0,10507500000.0,,10507500000.0,10507500000.0,10507500000.0,1,1,0,1,1,1,1,2010,,
AVON,2011-12-31,2012-02-29,10-K,FY,AVON,,,2011,10205200000.0,10205200000.0,10205200000.0,10205200000.0,10205200000.0,10205200000.0,,10205200000.0,10205200000.0,10205200000.0,1,1,0,1,1,1,1,2011,,
AVON,2012-12-31,2013-02-28,10-K,FY,AVON,,,2012,10862800000.0,10862800000.0,10862800000.0,10862800000.0,10862800000.0,10862800000.0,,10862800000.0,10862800000.0,10862800000.0,1,1,0,1,1,1,1,2012,,
AVON,2013-12-31,2014-02-26,10-K,FY,AVON,,,2013,11099500000.0,11099500000.0,11099500000.0,11099500000.0,11099500000.0,11099500000.0,,11099500000.0,11099500000.0,11099500000.0,1,1,0,1,1,1,1,2013,,
AVON,2014-12-31,2015-02-24,10-K,FY,AVON,,,2014,10561400000.0,10561400000.0,10561400000.0,10561400000.0,10561400000.0,10561400000.0,,10561400000.0,10561400000.0,10561400000.0,1,1,0,1,1,1,1,2014,,
AVON,2015-12-31,2016-02-23,10-K,FY,AVON,,,2015,8496800000.0,8496800000.0,8496800000.0,8496800000.0,8496800000.0,8496800000.0,,8496800000.0,8496800000.0,8496800000.0,1,1,0,1,1,1,1,2015,,
AVON,2016-12-31,2017-02-22,10-K,FY,AVON,,,2016,7648000000.0,7648000000.0,7648000000.0,7648000000.0,7648000000.0,7648000000.0,,7648000000.0,7648000000.0,7648000000.0,1,1,0,1,1,1,1,2016,,
AVON,2017-12-31,2018-02-22,10-K,FY,AVON,,,2017,6160500000.0,6160500000.0,6160500000.0,6160500000.0,6160500000.0,6160500000.0,,6160500000.0,6160500000.0,6160500000.0,1,1,0,1,1,1,1,2017,,
AVON,2018-12-31,2019-02-21,10-K,FY,AVON,,,2018,816000000.0,816000000.0,816000000.0,816000000.0,816000000.0,816000000.0,,816000000.0,816000000.0,816000000.0,1,1,0,1,1,1,1,2018,,
AVON,2019-12-31,2020-03-05,10-K,FY,AVON,,,2019,813800000.0,813800000.0,813800000.0,813800000.0,813800000.0,813800000.0,,813800000.0,813800000.0,813800000.0,1,1,0,1,1,1,1,2019,,
AVON,2020-12-31,2021-03-05,10-K,FY,AVON,,,2020,5571300000.0,5571300000.0,5571300000.0,5571300000.0,5571300000.0,5571300000.0,,5571300000.0,5571300000.0,5571300000.0,1,1,0,1,1,1,1,2020,,
AVON,2021-12-31,2022-03-10,10-K,FY,AVON,,,2021,4763200000.0,4763200000.0,4763200000.0,4763200000.0,4763200000.0,4763200000.0,,4763200000.0,4763200000.0,4763200000.0,1,1,0,1,1,1,1,2021,,
AVON,2022-12-31,2023-03-14,10-K,FY,AVON,,,2022,3625200000.0,3625200000.0,3625200000.0,3625200000.0,3625200000.0,3625200000.0,,3625200000.0,3625200000.0,3625200000.0,1,1,0,1,1,1,1,2022,,
CART,2023-12-31,2024-03-05,10-K,FY,CART,internet-retail,consumer-cyclical,2023,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1,1,1,1,1,1,1,2023,23.46999931335449,1207300.0
CART,2024-12-31,2025-02-28,10-K,FY,CART,internet-retail,consumer-cyclical,2024,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1,1,1,1,1,1,1,2024,41.41999816894531,1749600.0
CART,2025-12-31,2026-02-26,10-K,FY,CART,internet-retail,consumer-cyclical,2025,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,1,1,1,1,1,1,1,2025,44.959999084472656,2330600.0
DASH,2020-12-31,2021-03-05,10-K,FY,DASH,internet-retail,consumer-cyclical,2020,-210000000.0,,,-210000000.0,-210000000.0,-210000000.0,,-210000000.0,-210000000.0,-210000000.0,0,1,0,1,1,0,1,2020,142.75,2637300.0
DASH,2021-12-31,2022-03-01,10-K,FY,DASH,internet-retail,consumer-cyclical,2021,-616000000.0,,,-616000000.0,-616000000.0,-616000000.0,,-616000000.0,-616000000.0,-616000000.0,0,1,0,1,1,0,1,2021,148.89999389648438,2297900.0
DASH,2022-12-31,2023-02-27,10-K,FY,DASH,internet-retail,consumer-cyclical,2022,-436000000.0,,,-436000000.0,-436000000.0,-436000000.0,,-436000000.0,-436000000.0,-436000000.0,0,1,0,1,1,0,1,2022,48.81999969482422,3193300.0
DASH,2023-12-31,2024-02-20,10-K,FY,DASH,internet-retail,consumer-cyclical,2023,-452000000.0,,,-452000000.0,-452000000.0,-452000000.0,,-452000000.0,-452000000.0,-452000000.0,0,1,0,1,1,0,1,2023,98.88999938964844,2525700.0
DASH,2024-12-31,2025-02-14,10-K,FY,DASH,internet-retail,consumer-cyclical,2024,-1124000000.0,,,-1124000000.0,-1124000000.0,-1124000000.0,,-1124000000.0,-1124000000.0,-1124000000.0,0,1,0,1,1,0,1,2024,167.75,1241300.0
DASH,2025-12-31,2026-02-18,10-K,FY,DASH,internet-retail,consumer-cyclical,2025,-579000000.0,,,-579000000.0,-579000000.0,-579000000.0,,-579000000.0,-579000000.0,-579000000.0,0,1,0,1,1,0,1,2025,228.1300048828125,2546500.0
ETSY,2015-12-31,2016-03-01,10-K,FY,ETSY,internet-retail,consumer-cyclical,2015,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,1,1,1,1,1,1,1,2015,8.260000228881836,1213000.0
ETSY,2016-12-31,2017-02-28,10-K,FY,ETSY,internet-retail,consumer-cyclical,2016,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,1,1,1,1,1,1,1,2016,11.779999732971191,960300.0
ETSY,2017-12-31,2018-03-01,10-K,FY,ETSY,internet-retail,consumer-cyclical,2017,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,1,1,1,1,1,1,1,2017,20.450000762939453,1285900.0
ETSY,2018-12-31,2019-02-28,10-K,FY,ETSY,internet-retail,consumer-cyclical,2018,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,241639000.0,1,1,1,1,1,1,1,2018,47.56999969482422,1527000.0
ETSY,2019-12-31,2020-02-27,10-K,FY,ETSY,internet-retail,consumer-cyclical,2019,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,290245000.0,1,1,1,1,1,1,1,2019,44.29999923706055,2325000.0
ETSY,2020-12-31,2021-02-26,10-K,FY,ETSY,internet-retail,consumer-cyclical,2020,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,412931000.0,1,1,1,1,1,1,1,2020,177.91000366210938,2076900.0
ETSY,2021-12-31,2022-02-25,10-K,FY,ETSY,internet-retail,consumer-cyclical,2021,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,547343000.0,1,1,1,1,1,1,1,2021,218.94000244140625,1298800.0
ETSY,2022-12-31,2023-02-23,10-K,FY,ETSY,internet-retail,consumer-cyclical,2022,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1260880000.0,1,1,1,1,1,1,1,2022,119.77999877929688,2153700.0
ETSY,2023-12-31,2024-02-22,10-K,FY,ETSY,internet-retail,consumer-cyclical,2023,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1674602000.0,1,1,1,1,1,1,1,2023,81.05000305175781,2397100.0
ETSY,2024-12-31,2025-02-19,10-K,FY,ETSY,internet-retail,consumer-cyclical,2024,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1821519000.0,1,1,1,1,1,1,1,2024,52.88999938964844,3910100.0
ETSY,2025-12-31,2026-02-19,10-K,FY,ETSY,internet-retail,consumer-cyclical,2025,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1919702000.0,1,1,1,1,1,1,1,2025,55.36000061035156,2432300.0
