filed_date,fiscal_year,form,fiscal_period,company,ticker,category,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,StockholdersEquity,Revenue,Assets_lag1,CommonStockSharesOutstanding_lag1,IncomeTaxExpenseBenefit_lag1,Liabilities_lag1,NetIncomeLoss_lag1,OperatingIncomeLoss_lag1,StockholdersEquity_lag1,Revenue_lag1
2021-03-05,2020,10-K,FY,DoorDash,DASH,gig,1732000000.0,399990946.1708861,0.0,550000000.0,-204000000.0,-210000000.0,-198000000.0,291000000.0,,,,,,,,
2022-03-01,2021,10-K,FY,DoorDash,DASH,gig,6353000000.0,399990946.1708861,1000000.0,1653000000.0,-667000000.0,-616000000.0,-436000000.0,885000000.0,6353000000.0,399990946.1708861,2000000.0,1653000000.0,-129000000.0,-131000000.0,-1082000000.0,1916000000.0
2023-02-27,2022,10-K,FY,DoorDash,DASH,gig,6809000000.0,399990946.1708861,3000000.0,2142000000.0,-461000000.0,-436000000.0,-1082000000.0,2886000000.0,6809000000.0,399990946.1708861,3000000.0,2142000000.0,-110000000.0,-298000000.0,4700000000.0,3588000000.0
2024-02-20,2023,10-K,FY,DoorDash,DASH,gig,9789000000.0,399990946.1708861,5000000.0,3021000000.0,-468000000.0,-452000000.0,4700000000.0,4888000000.0,9789000000.0,399990946.1708861,-14000000.0,3021000000.0,-167000000.0,-754000000.0,4667000000.0,4765000000.0
2025-02-14,2024,10-K,FY,DoorDash,DASH,gig,10839000000.0,399990946.1708861,-31000000.0,4026000000.0,-1365000000.0,-1124000000.0,4667000000.0,6583000000.0,10839000000.0,399990946.1708861,14000000.0,4026000000.0,-161000000.0,-490000000.0,6754000000.0,6332000000.0
2026-02-18,2025,10-K,FY,DoorDash,DASH,gig,12845000000.0,399990946.1708861,31000000.0,5035000000.0,-558000000.0,-579000000.0,6754000000.0,8635000000.0,12845000000.0,399990946.1708861,2000000.0,5035000000.0,-23000000.0,-155000000.0,6806000000.0,7849000000.0
2016-03-01,2015,10-K,FY,Etsy,ETSY,gig,246203000.0,33082948.0,854000.0,98903000.0,-796000.0,733000.0,-652000.0,125022000.0,249135000.0,44180939.0,1880000.0,101835000.0,-9885000.0,-6427000.0,67088000.0,130679000.0
2017-02-28,2016,10-K,FY,Etsy,ETSY,gig,553061000.0,44180393.0,4983000.0,222563000.0,-15243000.0,-6251000.0,4003000.0,195591000.0,553061000.0,112563354.0,19729000.0,222563000.0,-49831000.0,-10300000.0,330498000.0,185604000.0
2018-03-01,2017,10-K,FY,Etsy,ETSY,gig,581193000.0,115973039.0,26069000.0,236436000.0,-54063000.0,-1884000.0,67088000.0,273499000.0,581193000.0,115973039.0,22238000.0,236436000.0,-8518000.0,14125000.0,344757000.0,254758000.0
2019-02-28,2018,10-K,FY,Etsy,ETSY,gig,605583000.0,121769238.0,27025000.0,208689000.0,-29901000.0,17577000.0,330498000.0,364967000.0,605583000.0,121769238.0,-23051000.0,208689000.0,37050000.0,-6394000.0,396894000.0,304963000.0
2020-02-27,2019,10-K,FY,Etsy,ETSY,gig,901851000.0,119771702.0,-49535000.0,500953000.0,81800000.0,11896000.0,344757000.0,441231000.0,901851000.0,119771702.0,-4038000.0,500953000.0,12967000.0,45297000.0,396894000.0,403665000.0
2021-02-26,2020,10-K,FY,Etsy,ETSY,gig,1542352000.0,118342772.0,-22413000.0,1135718000.0,77491000.0,74786000.0,396894000.0,603693000.0,1542352000.0,118342772.0,-6708000.0,1135718000.0,64603000.0,63723000.0,400898000.0,548381000.0
2022-02-25,2021,10-K,FY,Etsy,ETSY,gig,2404489000.0,125835931.0,-15248000.0,1662065000.0,95894000.0,88761000.0,400898000.0,818379000.0,2404489000.0,125835931.0,11694000.0,1662065000.0,200708000.0,262674000.0,406634000.0,1108270000.0
2023-02-23,2022,10-K,FY,Etsy,ETSY,gig,3831809000.0,127022118.0,16463000.0,3203190000.0,349246000.0,424009000.0,406634000.0,1725625000.0,3831809000.0,127022118.0,-4669000.0,3203190000.0,331950000.0,323483000.0,742424000.0,1611975000.0
2024-02-22,2023,10-K,FY,Etsy,ETSY,gig,2634961000.0,125054278.0,-21853000.0,3182235000.0,493507000.0,465732000.0,742424000.0,2329114000.0,2634961000.0,125054278.0,13968000.0,3182235000.0,-803836000.0,-797904000.0,628619000.0,1758870000.0
2025-02-19,2024,10-K,FY,Etsy,ETSY,gig,2685400000.0,119069000.0,32310000.0,3229115000.0,-694288000.0,-658560000.0,628619000.0,2566111000.0,2685400000.0,119069000.0,-40650000.0,3229115000.0,224302000.0,164383000.0,-547274000.0,1906055000.0
2026-02-19,2025,10-K,FY,Etsy,ETSY,gig,2417782000.0,108540000.0,-14748000.0,3176648000.0,307568000.0,279841000.0,-547274000.0,2748377000.0,2417782000.0,108540000.0,59067000.0,3176648000.0,173375000.0,225076000.0,-543715000.0,1956170000.0
2011-02-22,2010,10-K,FY,Herbalife,HLF,mlm,1146050000.0,60200000.0,97840000.0,786739000.0,221190000.0,332252000.0,182244000.0,3334400000.0,1146050000.0,60200000.0,60169000.0,786739000.0,147690000.0,211946000.0,359311000.0,3334400000.0
2012-02-21,2011,10-K,FY,Herbalife,HLF,mlm,1232220000.0,120500000.0,87582000.0,745008000.0,203346000.0,296031000.0,241731000.0,3334400000.0,1232220000.0,117800000.0,62048000.0,745008000.0,212930000.0,281269000.0,487212000.0,3334400000.0
2013-02-19,2012,10-K,FY,Herbalife,HLF,mlm,1446209000.0,117800000.0,80880000.0,886021000.0,299215000.0,387512000.0,359311000.0,3334400000.0,1446209000.0,115800000.0,116852000.0,886021000.0,307221000.0,427921000.0,560188000.0,3334400000.0
2014-02-18,2013,10-K,FY,Herbalife,HLF,mlm,1724143000.0,115800000.0,144820000.0,1328660000.0,414959000.0,562270000.0,473996000.0,3334400000.0,1463075000.0,106900000.0,87212000.0,914931000.0,292883000.0,501654000.0,548144000.0,3334400000.0
2015-02-26,2014,10-K,FY,Herbalife,HLF,mlm,2473700000.0,106900000.0,186900000.0,1922300000.0,464000000.0,661400000.0,548200000.0,3334400000.0,2473701000.0,101100000.0,133775000.0,1922255000.0,403985000.0,553418000.0,551446000.0,3334400000.0
2016-02-25,2015,10-K,FY,Herbalife,HLF,mlm,2355000000.0,101100000.0,189200000.0,2689400000.0,527500000.0,735300000.0,395500000.0,3334400000.0,2374900000.0,92200000.0,76900000.0,2709300000.0,205400000.0,351500000.0,-334400000.0,3334400000.0
2017-02-23,2016,10-K,FY,Herbalife,HLF,mlm,2477900000.0,92200000.0,112600000.0,2531400000.0,308700000.0,513500000.0,551400000.0,3334400000.0,2477900000.0,92700000.0,114800000.0,2531400000.0,254600000.0,441000000.0,-53500000.0,3334400000.0
2018-02-22,2017,10-K,FY,Herbalife,HLF,mlm,2565400000.0,92700000.0,147300000.0,2369100000.0,339100000.0,583600000.0,-334400000.0,3334400000.0,2565400000.0,93100000.0,69200000.0,2369100000.0,160600000.0,299900000.0,196300000.0,3334400000.0
2019-02-19,2018,10-K,FY,Herbalife,HLF,mlm,2895100000.0,186300000.0,104700000.0,3229800000.0,260000000.0,458100000.0,-53500000.0,4488400000.0,2895100000.0,164700000.0,84200000.0,3229800000.0,277300000.0,468000000.0,-334700000.0,3334400000.0
2020-02-18,2019,10-K,FY,Herbalife,HLF,mlm,2789800000.0,164700000.0,257300000.0,3513200000.0,213900000.0,617100000.0,196300000.0,4427700000.0,2789800000.0,142800000.0,103100000.0,3513200000.0,247700000.0,534900000.0,-334700000.0,3705200000.0
2021-02-17,2020,10-K,FY,Herbalife,HLF,mlm,2678600000.0,142800000.0,167600000.0,3068600000.0,296600000.0,683100000.0,-334700000.0,4891800000.0,2678600000.0,137400000.0,117100000.0,3068600000.0,254300000.0,459700000.0,-723400000.0,3656800000.0
2022-02-23,2021,10-K,FY,Herbalife,HLF,mlm,3076100000.0,137400000.0,140400000.0,3932200000.0,311000000.0,568100000.0,-723400000.0,4877100000.0,3076100000.0,120100000.0,104400000.0,3932200000.0,298800000.0,492200000.0,-390000000.0,4131100000.0
2023-02-14,2022,10-K,FY,Herbalife,HLF,mlm,2819800000.0,120100000.0,143800000.0,4211300000.0,372600000.0,640600000.0,-390000000.0,5541800000.0,2819800000.0,100800000.0,104200000.0,4211300000.0,409000000.0,649800000.0,-856100000.0,4484800000.0
2024-02-14,2023,10-K,FY,Herbalife,HLF,mlm,2732000000.0,100800000.0,113600000.0,3997900000.0,447200000.0,734100000.0,-856100000.0,5802800000.0,2732000000.0,97900000.0,93500000.0,3997900000.0,266900000.0,456300000.0,-1391500000.0,4023600000.0
2025-02-19,2024,10-K,FY,Herbalife,HLF,mlm,2809400000.0,97900000.0,103500000.0,3869700000.0,321300000.0,545200000.0,-1391500000.0,5204400000.0,2809400000.0,99200000.0,53300000.0,3869700000.0,132000000.0,300600000.0,-1265900000.0,3847400000.0
2026-02-18,2025,10-K,FY,Herbalife,HLF,mlm,2728100000.0,99200000.0,60800000.0,3529200000.0,142200000.0,356400000.0,-801100000.0,5062400000.0,2728100000.0,101200000.0,40400000.0,3529200000.0,76400000.0,279400000.0,-801100000.0,3785700000.0
2024-03-05,2023,10-K,FY,Instacart,CART,gig,3669000000.0,72230000.0,1000000.0,911000000.0,-73000000.0,-86000000.0,-981000000.0,1834000000.0,3669000000.0,72230000.0,-2000000.0,911000000.0,-82000000.0,-40000000.0,-573000000.0,1794000000.0
2025-02-28,2024,10-K,FY,Instacart,CART,gig,4727000000.0,279046000.0,-357000000.0,800000000.0,428000000.0,62000000.0,-573000000.0,2551000000.0,4727000000.0,279046000.0,-376000000.0,800000000.0,128000000.0,-2188000000.0,-64000000.0,2239000000.0
2026-02-26,2025,10-K,FY,Instacart,CART,gig,4115000000.0,260964000.0,-439000000.0,836000000.0,-1622000000.0,-2142000000.0,-64000000.0,3042000000.0,4115000000.0,260964000.0,77000000.0,836000000.0,130000000.0,334000000.0,3750000000.0,2495000000.0
2020-02-28,2019,10-K,FY,Lyft,LYFT,gig,3760043000.0,22438472.0,556000.0,1479277000.0,-688301000.0,-708272000.0,-1303730000.0,1059881000.0,3760043000.0,22438472.0,1147000.0,1479277000.0,-234339000.0,-707688000.0,-1979438000.0,1487051000.0
2021-03-01,2020,10-K,FY,Lyft,LYFT,gig,5691383000.0,22438472.0,738000.0,2837299000.0,-911335000.0,-977711000.0,-1979438000.0,2156616000.0,5691383000.0,22438472.0,4283000.0,2837299000.0,-1138473000.0,-2320666000.0,-2871281000.0,2598890000.0
2022-02-28,2021,10-K,FY,Lyft,LYFT,gig,4678964000.0,22438472.0,2356000.0,3002801000.0,-2602241000.0,-2702480000.0,-2871281000.0,3615960000.0,4678964000.0,22438472.0,-42060000.0,3002801000.0,-398073000.0,-1354955000.0,2854084000.0,1794801000.0
2023-02-27,2022,10-K,FY,Lyft,LYFT,gig,4773884000.0,22438472.0,-44534000.0,3432671000.0,-1752857000.0,-1808382000.0,2854084000.0,2364681000.0,4824268000.0,22438472.0,9253000.0,3368369000.0,-427339000.0,-861596000.0,1676163000.0,2238390000.0
2024-02-20,2023,10-K,FY,Lyft,LYFT,gig,4556431000.0,22438472.0,11225000.0,4167763000.0,-1062144000.0,-1135217000.0,1676163000.0,3208323000.0,4556431000.0,22438472.0,3515000.0,4167763000.0,-196932000.0,-862894000.0,1341213000.0,2920143000.0
2025-02-14,2024,10-K,FY,Lyft,LYFT,gig,4564467000.0,22438472.0,5872000.0,4022949000.0,-1584511000.0,-1458916000.0,1341213000.0,4095135000.0,4564467000.0,22438472.0,5454000.0,4022949000.0,-187649000.0,-415453000.0,388668000.0,3179004000.0
2026-02-11,2025,10-K,FY,Lyft,LYFT,gig,5435069000.0,398107601.0,8616000.0,4668053000.0,-340320000.0,-475604000.0,388668000.0,4403589000.0,5435069000.0,399353398.0,3762000.0,4668053000.0,-31535000.0,-146864000.0,541518000.0,4235739000.0
2012-02-28,2011,10-K,FY,Primerica,PRI,mlm,9884306000.0,64938806.0,265366000.0,8452814000.0,494589000.0,346986460.3174603,4943773000.0,2220401000.0,9884306000.0,73797103.0,113731000.0,8452814000.0,204889000.0,346986460.3174603,1396314000.0,1082476000.0
2013-02-27,2012,10-K,FY,Primerica,PRI,mlm,9851820000.0,72843000.0,129013000.0,8525170000.0,232456000.0,346986460.3174603,1356528000.0,1361863000.0,9851820000.0,57569453.0,67239000.0,8525170000.0,119989000.0,346986460.3174603,1479790000.0,827238000.0
2014-02-27,2013,10-K,FY,Primerica,PRI,mlm,9851820000.0,72843000.0,86718000.0,9062461000.0,133535000.0,346986460.3174603,1337411000.0,1103093000.0,10337877000.0,64883000.0,72407000.0,9062461000.0,133535000.0,346986460.3174603,1337411000.0,886214000.0
2015-02-26,2014,10-K,FY,Primerica,PRI,mlm,10337877000.0,64883000.0,92813000.0,9107923000.0,133535000.0,346986460.3174603,1337411000.0,1153772000.0,10329950000.0,56374000.0,66828000.0,9107923000.0,133535000.0,346986460.3174603,1337411000.0,912348000.0
2016-02-25,2015,10-K,FY,Primerica,PRI,mlm,10329744000.0,56374000.0,86305000.0,9492469000.0,133535000.0,346986460.3174603,1337411000.0,1228998000.0,10737595000.0,54834000.0,72224000.0,9492469000.0,133535000.0,346986460.3174603,1337411000.0,993561000.0
2017-02-27,2016,10-K,FY,Primerica,PRI,mlm,10735929000.0,54834000.0,95888000.0,9465011000.0,181412000.0,346986460.3174603,1245126000.0,1337096000.0,10610783000.0,52169000.0,76664000.0,9465011000.0,141924000.0,346986460.3174603,1146681000.0,1050752000.0
2018-02-26,2017,10-K,FY,Primerica,PRI,mlm,10610783000.0,52169000.0,101110000.0,10217569000.0,189871000.0,346986460.3174603,1145772000.0,1404199000.0,11438943000.0,48297000.0,87991000.0,10217569000.0,162540000.0,346986460.3174603,1220893000.0,1125221000.0
2019-02-26,2018,10-K,FY,Primerica,PRI,mlm,11438943000.0,48297000.0,118181000.0,11041602000.0,219414000.0,346986460.3174603,1221374000.0,1519084000.0,12460703000.0,45721000.0,89619000.0,11041602000.0,181813000.0,346986460.3174603,1280530000.0,1246161000.0
2020-02-28,2019,10-K,FY,Primerica,PRI,mlm,12460703000.0,45721000.0,29265000.0,11133535000.0,350255000.0,346986460.3174603,1419101000.0,1689102000.0,12595048000.0,44251000.0,70610000.0,11133535000.0,237550000.0,346986460.3174603,1443456000.0,1412518000.0
