filed_date,fiscal_year,form,fiscal_period,company,ticker,category,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,StockholdersEquity,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,ContractWithCustomerLiabilityChangeInTimeframePerformanceObligationSatisfiedRevenueRecognized,OperatingLeasesIncomeStatementMinimumLeaseRevenue,Revenues
2018-11-08,2018,10-Q,Q3,Upwork,UPWK,gig,275189000.0,33740323.0,56000.0,140070000.0,1068000.0,1828000.0,147793000.0,,-31367000.0,,,,
2019-03-07,2018,10-K,FY,Upwork,UPWK,gig,275189000.0,33740323.0,-1000.0,140070000.0,-16233000.0,-14468000.0,164445000.0,,-21434000.0,,,,
2019-05-08,2019,10-Q,Q1,Upwork,UPWK,gig,391573000.0,106454321.0,-3000.0,147828000.0,-6784000.0,-6009000.0,59218000.0,,-31367000.0,,,,
2019-08-07,2019,10-Q,Q2,Upwork,UPWK,gig,391573000.0,106454321.0,9000.0,147828000.0,-7196000.0,-5680000.0,121899000.0,,-31367000.0,,,,
2019-11-06,2019,10-Q,Q3,Upwork,UPWK,gig,391573000.0,106454321.0,9000.0,147828000.0,-14542000.0,-9014000.0,186012000.0,,-31367000.0,,,,
2020-03-02,2019,10-K,FY,Upwork,UPWK,gig,391573000.0,106454321.0,-22000.0,147828000.0,-4123000.0,-3123000.0,202552000.0,13400000.0,-30131000.0,,,,
2020-05-06,2020,10-Q,Q1,Upwork,UPWK,gig,446380000.0,113604398.0,1000.0,186956000.0,-5160000.0,-5265000.0,68476000.0,17600000.0,243745000.0,,,,
2020-08-04,2020,10-Q,Q2,Upwork,UPWK,gig,446380000.0,113604398.0,28000.0,186956000.0,-7611000.0,-8164000.0,142259000.0,18500000.0,243745000.0,,,,
2020-11-04,2020,10-Q,Q3,Upwork,UPWK,gig,446380000.0,113604398.0,28000.0,186956000.0,-11158000.0,-11856000.0,220274000.0,20000000.0,243745000.0,,,,
2021-02-24,2020,10-K,FY,Upwork,UPWK,gig,446380000.0,113604398.0,15000.0,186956000.0,-19907000.0,-11712000.0,253354000.0,21000000.0,-31367000.0,,,,
2021-05-04,2021,10-Q,Q1,Upwork,UPWK,gig,529227000.0,124795222.0,9000.0,229917000.0,-10021000.0,-9051000.0,83196000.0,22500000.0,259424000.0,,,,
2021-07-29,2021,10-Q,Q2,Upwork,UPWK,gig,529227000.0,124795222.0,39000.0,229917000.0,-21045000.0,-20035000.0,170727000.0,24400000.0,259424000.0,,,,
2021-10-27,2021,10-Q,Q3,Upwork,UPWK,gig,529227000.0,124795222.0,57000.0,229917000.0,-23792000.0,-23064000.0,267475000.0,26100000.0,259424000.0,,,,
2022-02-15,2021,10-K,FY,Upwork,UPWK,gig,529227000.0,124795222.0,28000.0,229917000.0,-16659000.0,-18732000.0,300562000.0,28400000.0,243745000.0,,,,
2022-04-27,2022,10-Q,Q1,Upwork,UPWK,gig,1081061000.0,129130478.0,17000.0,821544000.0,-7835000.0,-7697000.0,113619000.0,30100000.0,299310000.0,,,,
2022-07-27,2022,10-Q,Q2,Upwork,UPWK,gig,1081061000.0,129130478.0,33000.0,821544000.0,-24373000.0,-24092000.0,237800000.0,30700000.0,299310000.0,,,,
2022-10-26,2022,10-Q,Q3,Upwork,UPWK,gig,1081061000.0,129130478.0,59000.0,821544000.0,-33684000.0,-32409000.0,365941000.0,32700000.0,299310000.0,,,,
2023-02-16,2022,10-K,FY,Upwork,UPWK,gig,1081061000.0,129130478.0,150000.0,821544000.0,-22867000.0,-22408000.0,373628000.0,32700000.0,259424000.0,,,,
2023-05-03,2023,10-Q,Q1,Upwork,UPWK,gig,1080245000.0,132368265.0,29000.0,831366000.0,-24738000.0,-23652000.0,141337000.0,32900000.0,259517000.0,,,,
2023-08-02,2023,10-Q,Q2,Upwork,UPWK,gig,1080245000.0,132368265.0,56000.0,831366000.0,-48558000.0,-46700000.0,298235000.0,29200000.0,259517000.0,,,,
2023-11-07,2023,10-Q,Q3,Upwork,UPWK,gig,1080245000.0,132368265.0,96000.0,831366000.0,-73385000.0,-72142000.0,456876000.0,23700000.0,259517000.0,,,,
2024-02-15,2023,10-K,FY,Upwork,UPWK,gig,1080245000.0,132368265.0,122000.0,831366000.0,-56240000.0,-54217000.0,502797000.0,18200000.0,299310000.0,,,,
2024-05-01,2024,10-Q,Q1,Upwork,UPWK,gig,1037541000.0,137272754.0,795000.0,656466000.0,17167000.0,-25038000.0,160858000.0,14000000.0,248879000.0,,,,
2024-08-07,2024,10-Q,Q2,Upwork,UPWK,gig,1037541000.0,137272754.0,2652000.0,656466000.0,13176000.0,-31154000.0,329469000.0,5100000.0,248879000.0,,,,
