Date,Week,Month,Quarter,Year,Company,Ticker,industryKey,sectorKey,Close,Volume,Close_lag1,Volume_lag1
2018-10-07,40,10,4,2018,Upwork,UPWK,internet-content-information,communication-services,20.989999771118164,914000.0,,
2018-10-14,41,10,4,2018,Upwork,UPWK,internet-content-information,communication-services,19.209999084472656,358900.0,20.989999771118164,914000.0
2018-10-21,42,10,4,2018,Upwork,UPWK,internet-content-information,communication-services,19.440000534057617,337900.0,19.209999084472656,358900.0
2018-10-28,43,10,4,2018,Upwork,UPWK,internet-content-information,communication-services,18.690000534057617,666900.0,19.440000534057617,337900.0
2018-11-04,44,11,4,2018,Upwork,UPWK,internet-content-information,communication-services,20.260000228881836,251300.0,18.690000534057617,666900.0
2018-11-11,45,11,4,2018,Upwork,UPWK,internet-content-information,communication-services,17.68000030517578,737500.0,20.260000228881836,251300.0
2018-11-18,46,11,4,2018,Upwork,UPWK,internet-content-information,communication-services,19.200000762939453,362200.0,17.68000030517578,737500.0
2018-11-25,47,11,4,2018,Upwork,UPWK,internet-content-information,communication-services,16.889999389648438,134800.0,19.200000762939453,362200.0
2018-12-02,48,12,4,2018,Upwork,UPWK,internet-content-information,communication-services,18.6299991607666,352700.0,16.889999389648438,134800.0
2018-12-09,49,12,4,2018,Upwork,UPWK,internet-content-information,communication-services,17.09000015258789,300300.0,18.6299991607666,352700.0
2018-12-16,50,12,4,2018,Upwork,UPWK,internet-content-information,communication-services,17.389999389648438,325300.0,17.09000015258789,300300.0
2018-12-23,51,12,4,2018,Upwork,UPWK,internet-content-information,communication-services,19.559999465942383,4138100.0,17.389999389648438,325300.0
2018-12-30,52,12,4,2018,Upwork,UPWK,internet-content-information,communication-services,17.860000610351562,241400.0,19.559999465942383,4138100.0
2019-01-06,1,1,1,2019,Upwork,UPWK,internet-content-information,communication-services,18.59000015258789,319900.0,17.860000610351562,241400.0
2019-01-13,2,1,1,2019,Upwork,UPWK,internet-content-information,communication-services,18.989999771118164,152100.0,18.59000015258789,319900.0
2019-01-20,3,1,1,2019,Upwork,UPWK,internet-content-information,communication-services,18.940000534057617,288100.0,18.989999771118164,152100.0
2019-01-27,4,1,1,2019,Upwork,UPWK,internet-content-information,communication-services,18.979999542236328,173200.0,18.940000534057617,288100.0
2019-02-03,5,2,1,2019,Upwork,UPWK,internet-content-information,communication-services,18.579999923706055,134600.0,18.979999542236328,173200.0
2019-02-10,6,2,1,2019,Upwork,UPWK,internet-content-information,communication-services,20.56999969482422,267300.0,18.579999923706055,134600.0
2019-02-17,7,2,1,2019,Upwork,UPWK,internet-content-information,communication-services,22.059999465942383,494600.0,20.56999969482422,267300.0
2019-02-24,8,2,1,2019,Upwork,UPWK,internet-content-information,communication-services,22.719999313354492,447000.0,22.059999465942383,494600.0
2019-03-03,9,3,1,2019,Upwork,UPWK,internet-content-information,communication-services,22.450000762939453,993000.0,22.719999313354492,447000.0
2019-03-10,10,3,1,2019,Upwork,UPWK,internet-content-information,communication-services,21.479999542236328,254900.0,22.450000762939453,993000.0
2019-03-17,11,3,1,2019,Upwork,UPWK,internet-content-information,communication-services,20.309999465942383,760100.0,21.479999542236328,254900.0
2019-03-24,12,3,1,2019,Upwork,UPWK,internet-content-information,communication-services,19.899999618530273,336600.0,20.309999465942383,760100.0
2019-03-31,13,3,1,2019,Upwork,UPWK,internet-content-information,communication-services,19.139999389648438,1189400.0,19.899999618530273,336600.0
2019-04-07,14,4,2,2019,Upwork,UPWK,internet-content-information,communication-services,20.010000228881836,1932600.0,19.139999389648438,1189400.0
2019-04-14,15,4,2,2019,Upwork,UPWK,internet-content-information,communication-services,19.709999084472656,812700.0,20.010000228881836,1932600.0
2019-04-21,16,4,2,2019,Upwork,UPWK,internet-content-information,communication-services,18.760000228881836,785800.0,19.709999084472656,812700.0
2019-04-28,17,4,2,2019,Upwork,UPWK,internet-content-information,communication-services,19.020000457763672,458000.0,18.760000228881836,785800.0
2019-05-05,18,5,2,2019,Upwork,UPWK,internet-content-information,communication-services,20.700000762939453,407800.0,19.020000457763672,458000.0
2019-05-12,19,5,2,2019,Upwork,UPWK,internet-content-information,communication-services,16.75,6739000.0,20.700000762939453,407800.0
2019-05-19,20,5,2,2019,Upwork,UPWK,internet-content-information,communication-services,15.779999732971191,1080300.0,16.75,6739000.0
2019-05-26,21,5,2,2019,Upwork,UPWK,internet-content-information,communication-services,15.649999618530273,947100.0,15.779999732971191,1080300.0
2019-06-02,22,6,2,2019,Upwork,UPWK,internet-content-information,communication-services,14.979999542236328,771000.0,15.649999618530273,947100.0
2019-06-09,23,6,2,2019,Upwork,UPWK,internet-content-information,communication-services,14.390000343322754,765100.0,14.979999542236328,771000.0
2019-06-16,24,6,2,2019,Upwork,UPWK,internet-content-information,communication-services,15.260000228881836,1107800.0,14.390000343322754,765100.0
2019-06-23,25,6,2,2019,Upwork,UPWK,internet-content-information,communication-services,15.510000228881836,2400300.0,15.260000228881836,1107800.0
