Date,Quarter,Year,Company,Ticker,industryKey,sectorKey,Close,Volume
2005-03-31,1,2005,3M,MMM,conglomerates,industrials,38.97729110717773,3120842.0
2005-06-30,2,2005,3M,MMM,conglomerates,industrials,33.067012786865234,17649252.0
2005-09-30,3,2005,3M,MMM,conglomerates,industrials,33.749637603759766,2219537.0
2005-12-31,4,2005,3M,MMM,conglomerates,industrials,35.844261169433594,2067406.0
2006-03-31,1,2006,3M,MMM,conglomerates,industrials,35.22849655151367,3738457.0
2006-06-30,2,2006,3M,MMM,conglomerates,industrials,37.79327774047852,3909365.0
2006-09-30,3,2006,3M,MMM,conglomerates,industrials,35.048187255859375,3100271.0
2006-12-31,4,2006,3M,MMM,conglomerates,industrials,36.90984344482422,2184614.0
2007-03-31,1,2007,3M,MMM,conglomerates,industrials,36.42774963378906,4066998.0
2007-06-30,2,2007,3M,MMM,conglomerates,industrials,41.59718704223633,3973232.0
2007-09-30,3,2007,3M,MMM,conglomerates,industrials,45.09623336791992,4599338.0
2007-12-31,4,2007,3M,MMM,conglomerates,industrials,40.87397766113281,2081877.0
2008-03-31,1,2008,3M,MMM,conglomerates,industrials,38.60960006713867,4192698.0
2008-06-30,2,2008,3M,MMM,conglomerates,industrials,34.16654586791992,6379225.0
2008-09-30,3,2008,3M,MMM,conglomerates,industrials,33.77492141723633,8484304.0
2008-12-31,4,2008,3M,MMM,conglomerates,industrials,28.68052101135254,4790937.0
2009-03-31,1,2009,3M,MMM,conglomerates,industrials,25.052106857299805,8590988.0
2009-06-30,2,2009,3M,MMM,conglomerates,industrials,30.54624938964844,7890251.0
2009-09-30,3,2009,3M,MMM,conglomerates,industrials,37.78327560424805,5455913.0
2009-12-31,4,2009,3M,MMM,conglomerates,industrials,42.600215911865234,2451561.0
2010-03-31,1,2010,3M,MMM,conglomerates,industrials,43.346805572509766,5186693.0
2010-06-30,2,2010,3M,MMM,conglomerates,industrials,41.22882080078125,8303708.0
2010-09-30,3,2010,3M,MMM,conglomerates,industrials,45.542606353759766,4347101.0
2010-12-31,4,2010,3M,MMM,conglomerates,industrials,45.61153411865234,2142634.0
2011-03-31,1,2011,3M,MMM,conglomerates,industrials,49.71411895751953,3830668.0
2011-06-30,2,2011,3M,MMM,conglomerates,industrials,50.72917556762695,5025353.0
2011-09-30,3,2011,3M,MMM,conglomerates,industrials,38.65471267700195,8592662.0
2011-12-31,4,2011,3M,MMM,conglomerates,industrials,44.31775665283203,2040974.0
2012-03-31,1,2012,3M,MMM,conglomerates,industrials,48.70030975341797,2956273.0
2012-06-30,2,2012,3M,MMM,conglomerates,industrials,49.25196838378906,5536762.0
2012-09-30,3,2012,3M,MMM,conglomerates,industrials,51.12569808959961,3061162.0
2012-12-31,4,2012,3M,MMM,conglomerates,industrials,51.70415878295898,3086398.0
2013-03-31,1,2013,3M,MMM,conglomerates,industrials,59.565059661865234,2722933.0
2013-06-30,2,2013,3M,MMM,conglomerates,industrials,61.61764144897461,4100486.0
2013-09-30,3,2013,3M,MMM,conglomerates,industrials,67.6585922241211,2517221.0
2013-12-31,4,2013,3M,MMM,conglomerates,industrials,79.85658264160156,2208414.0
2014-03-31,1,2014,3M,MMM,conglomerates,industrials,77.75065612792969,3243313.0
2014-06-30,2,2014,3M,MMM,conglomerates,industrials,82.59859466552734,2246566.0
2014-09-30,3,2014,3M,MMM,conglomerates,industrials,82.1861572265625,3199420.0
2014-12-31,4,2014,3M,MMM,conglomerates,industrials,95.8308563232422,1941945.0
2015-03-31,1,2015,3M,MMM,conglomerates,industrials,96.79660034179688,2489235.0
2015-06-30,2,2015,3M,MMM,conglomerates,industrials,91.1195068359375,3062956.0
2015-09-30,3,2015,3M,MMM,conglomerates,industrials,84.30274200439453,4328683.0
2015-12-31,4,2015,3M,MMM,conglomerates,industrials,90.16576385498048,1922092.0
2016-03-31,1,2016,3M,MMM,conglomerates,industrials,100.45722198486328,2125531.0
2016-06-30,2,2016,3M,MMM,conglomerates,industrials,106.27862548828124,2929482.0
2016-09-30,3,2016,3M,MMM,conglomerates,industrials,107.61870574951172,2893602.0
2016-12-31,4,2016,3M,MMM,conglomerates,industrials,109.74681854248048,1906663.0
2017-03-31,1,2017,3M,MMM,conglomerates,industrials,118.35474395751952,2069080.0
2017-06-30,2,2017,3M,MMM,conglomerates,industrials,129.55331420898438,2116920.0
2017-09-30,3,2017,3M,MMM,conglomerates,industrials,131.3687286376953,1952111.0
2017-12-31,4,2017,3M,MMM,conglomerates,industrials,148.05258178710938,1607304.0
2018-03-31,1,2018,3M,MMM,conglomerates,industrials,138.89683532714844,3161028.0
2018-06-30,2,2018,3M,MMM,conglomerates,industrials,125.32186126708984,3195234.0
2018-09-30,3,2018,3M,MMM,conglomerates,industrials,135.1340789794922,2990239.0
2018-12-31,4,2018,3M,MMM,conglomerates,industrials,123.03301239013672,2158062.0
2019-03-31,1,2019,3M,MMM,conglomerates,industrials,135.0925750732422,3418527.0
2019-06-30,2,2019,3M,MMM,conglomerates,industrials,113.66494750976562,4306557.0
