date,Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,passive income
2010-01-01,2,0,0,0,0,0,0,0,81,12,9,12,81,1
2010-02-01,2,0,0,0,0,0,0,0,79,11,9,11,84,1
2010-03-01,2,0,0,0,0,3,0,0,81,12,11,11,84,1
2010-04-01,2,0,0,0,0,1,0,0,78,12,11,10,87,1
2010-05-01,2,0,0,0,0,1,0,0,83,13,9,11,91,1
2010-06-01,2,0,0,0,0,2,0,0,93,13,9,12,100,1
2010-07-01,3,0,0,0,0,2,0,0,88,13,9,11,99,1
2010-08-01,2,0,0,0,0,2,0,0,88,13,9,11,95,1
2010-09-01,2,0,0,0,1,3,0,0,80,12,9,11,92,1
2010-10-01,2,0,0,0,1,3,0,0,84,12,8,11,91,1
2010-11-01,2,0,0,0,1,2,0,0,90,11,8,11,88,1
2010-12-01,2,0,0,0,1,3,0,0,87,10,7,11,84,1
2011-01-01,2,0,0,0,1,3,0,0,88,11,9,11,80,1
2011-02-01,3,0,0,0,1,3,0,0,84,12,10,10,81,1
2011-03-01,2,0,0,0,1,3,0,0,84,14,9,10,84,1
2011-04-01,2,0,0,0,1,4,0,0,84,15,9,9,83,2
2011-05-01,2,0,0,0,1,4,0,0,84,15,9,10,87,1
2011-06-01,2,0,0,0,1,4,0,0,89,15,11,10,87,1
2011-07-01,2,0,0,0,1,5,0,0,87,16,10,11,86,1
2011-08-01,2,0,0,0,1,6,0,0,86,16,10,11,88,1
2011-09-01,2,0,0,0,1,5,0,0,80,15,10,11,81,1
2011-10-01,2,0,0,0,1,6,0,0,77,15,8,9,81,1
2011-11-01,2,0,0,0,1,5,0,0,80,14,8,11,79,1
2011-12-01,2,0,0,0,1,6,0,0,87,12,7,10,78,1
2012-01-01,2,0,0,0,2,7,0,0,78,17,8,11,81,1
2012-02-01,2,0,0,0,2,7,0,0,71,19,8,11,84,1
2012-03-01,2,0,0,0,2,8,0,0,74,21,9,10,79,1
2012-04-01,3,0,0,0,2,9,0,0,72,20,9,11,79,1
2012-05-01,3,0,0,0,2,8,0,0,77,22,8,10,85,1
2012-06-01,3,0,0,0,2,8,0,0,81,21,8,10,85,1
2012-07-01,3,0,0,0,2,20,0,0,81,22,9,11,84,1
2012-08-01,3,0,0,0,2,11,0,0,85,21,8,11,88,1
2012-09-01,3,0,0,0,3,13,0,0,77,20,8,10,81,1
2012-10-01,3,0,0,0,3,10,0,0,66,19,7,11,77,1
2012-11-01,3,0,0,0,3,10,0,0,74,19,7,12,75,1
2012-12-01,4,0,0,0,3,10,0,0,78,19,6,11,72,1
2013-01-01,4,0,0,0,3,11,0,0,74,31,8,12,79,1
2013-02-01,4,0,0,0,3,11,0,0,69,29,8,11,75,1
2013-03-01,4,0,0,0,4,11,0,0,67,29,8,12,76,2
2013-04-01,4,1,0,0,3,11,0,0,69,32,8,12,74,2
2013-05-01,5,1,0,0,4,12,0,0,75,30,8,12,80,1
2013-06-01,5,1,0,0,3,13,0,0,78,29,9,11,83,1
2013-07-01,7,1,0,0,3,12,0,0,75,30,9,12,84,1
2013-08-01,8,1,0,0,3,12,0,0,77,33,8,12,85,1
2013-09-01,7,2,0,0,4,12,0,0,74,29,7,11,75,1
2013-10-01,9,2,0,0,4,13,0,0,67,28,7,11,73,2
2013-11-01,9,1,0,0,5,12,0,0,69,26,6,12,75,1
2013-12-01,11,3,0,0,5,12,0,1,77,22,6,11,77,1
2014-01-01,12,2,0,0,7,13,0,1,71,35,7,11,74,2
2014-02-01,12,2,0,0,7,15,0,0,69,36,7,10,73,2
2014-03-01,14,3,0,0,8,14,0,1,69,45,8,11,72,2
2014-04-01,16,4,0,0,8,14,0,1,71,41,8,11,76,2
2014-05-01,19,4,0,1,7,14,0,0,71,35,7,11,77,2
2014-06-01,28,5,0,1,6,14,0,0,77,30,8,12,81,2
2014-07-01,29,6,0,1,6,15,0,1,82,36,8,12,81,2
2014-08-01,30,7,0,1,6,16,0,0,79,26,7,13,79,1
2014-09-01,29,6,0,1,7,16,0,0,72,23,8,12,70,2
2014-10-01,31,5,0,1,7,17,0,0,68,23,7,11,67,2
2014-11-01,37,5,0,1,8,16,0,0,72,19,6,13,68,2
2014-12-01,39,4,0,1,7,15,0,0,73,17,6,12,70,1
2015-01-01,33,4,0,1,8,15,0,0,64,25,8,13,70,2
2015-02-01,34,5,0,1,9,17,0,0,64,24,7,12,67,2
2015-03-01,41,6,0,1,8,17,0,1,65,29,8,13,70,2
2015-04-01,47,4,0,1,7,18,0,1,67,25,8,12,75,2
2015-05-01,53,5,0,1,8,17,4,1,67,24,8,13,77,2
2015-06-01,57,6,1,1,7,21,7,1,77,23,8,13,81,2
2015-07-01,62,7,1,1,7,20,9,1,85,25,11,13,80,2
2015-08-01,61,8,1,1,8,19,9,1,74,24,9,13,79,2
2015-09-01,60,7,1,2,8,18,10,1,72,22,8,13,70,2
2015-10-01,63,8,1,2,9,19,10,1,70,20,8,13,68,2
2015-11-01,60,8,2,2,8,17,10,1,70,18,7,14,66,2
2015-12-01,60,8,1,1,8,17,11,1,72,16,6,13,68,2
2016-01-01,68,10,1,2,7,16,11,1,66,24,8,11,65,2
2016-02-01,71,9,1,1,8,18,12,1,70,27,8,11,73,2
2016-03-01,66,10,1,1,8,18,12,1,70,30,8,11,69,2
2016-04-01,70,11,2,1,8,19,12,1,71,32,8,11,76,2
2016-05-01,74,13,2,1,7,19,13,1,71,28,8,10,78,2
2016-06-01,80,14,2,1,7,20,14,1,75,28,9,11,82,2
2016-07-01,87,16,2,1,8,17,13,1,76,32,9,11,82,2
2016-08-01,82,15,2,1,7,16,13,1,73,27,8,12,79,2
2016-09-01,80,16,2,1,8,15,12,1,71,22,9,12,71,2
2016-10-01,81,16,3,2,9,15,12,1,69,20,8,11,68,2
2016-11-01,80,17,3,2,12,18,13,1,63,19,8,12,65,2
2016-12-01,80,17,3,2,9,15,11,1,66,15,6,11,67,2
2017-01-01,87,20,3,2,9,25,15,2,65,24,8,12,65,2
2017-02-01,83,20,3,2,10,25,15,2,67,23,9,11,67,2
2017-03-01,81,20,3,2,10,24,16,2,68,26,10,11,69,3
2017-04-01,79,19,4,2,11,23,16,2,67,23,9,11,71,3
2017-05-01,79,20,4,3,10,22,16,2,71,22,8,11,78,2
2017-06-01,94,24,4,3,10,21,15,2,75,27,10,11,77,2
2017-07-01,88,24,4,3,10,23,16,4,74,24,10,13,80,3
2017-08-01,79,23,4,3,10,22,15,3,75,23,10,12,73,2
2017-09-01,72,21,4,4,10,21,14,4,67,17,8,11,70,3
2017-10-01,67,22,4,4,9,19,16,4,69,18,9,11,68,3
2017-11-01,74,21,5,4,10,21,16,4,70,15,8,13,71,3
2017-12-01,70,22,5,4,11,19,13,3,75,13,7,12,70,3
2018-01-01,70,22,6,6,11,24,18,4,77,21,9,12,63,3
2018-02-01,76,21,7,5,12,25,17,3,71,23,9,11,66,3
2018-03-01,83,23,7,5,12,24,18,4,71,26,9,12,69,3
2018-04-01,75,21,8,5,12,24,17,4,68,26,9,12,65,4
2018-05-01,73,21,9,5,13,22,17,4,71,24,8,11,71,3
2018-06-01,84,23,10,5,13,23,17,4,75,25,9,12,76,3
2018-07-01,85,24,11,5,14,23,16,5,75,24,9,13,79,3
2018-08-01,84,23,13,5,13,30,18,4,79,25,9,13,74,4
2018-09-01,74,21,13,6,13,25,15,4,67,20,8,11,72,3
2018-10-01,77,21,14,6,16,24,19,4,66,20,8,12,60,3
2018-11-01,71,21,15,6,16,27,15,4,66,16,7,13,67,3
2018-12-01,73,21,18,6,17,23,13,4,68,15,6,12,69,3
2019-01-01,77,22,20,7,17,28,19,6,66,23,8,13,63,4
2019-02-01,76,23,24,7,21,27,19,5,67,22,8,11,64,4
2019-03-01,76,32,26,6,20,26,16,5,67,24,8,12,69,4
2019-04-01,80,32,24,7,16,24,16,5,66,25,9,12,68,4
2019-05-01,100,28,26,7,16,27,20,6,72,24,8,11,73,3
2019-06-01,82,24,26,7,16,37,22,6,72,23,10,12,80,3
2019-07-01,78,22,25,7,14,30,20,6,76,22,10,12,77,4
2019-08-01,77,22,25,7,14,30,21,6,74,23,9,12,70,4
2019-09-01,70,20,26,7,15,28,20,6,70,19,8,12,69,4
2019-10-01,69,20,27,7,15,28,19,6,65,18,8,11,61,3
2019-11-01,75,20,26,8,17,25,19,5,67,16,7,15,63,3
